iter,loss,rmse
1,0.8047,1.5306
2,1.0714,1.5010
3,1.2031,1.4454
4,1.2801,1.3404
5,1.3299,1.2124
6,1.3630,1.1797
7,1.3854,1.1615
8,1.4006,1.1193
9,1.4113,1.0410
10,1.4197,1.0297
11,1.4264,1.1024
12,1.4315,1.0836
13,1.4359,1.0068
14,1.4387,1.0042
15,1.4405,1.0036
16,1.4411,0.9946
17,1.4415,0.9859
18,1.4413,0.9831
19,1.4409,0.9761
20,1.4404,0.9950
21,1.4392,0.9671
22,1.4381,0.9588
23,1.4368,0.9562
24,1.4351,0.9446
25,1.4337,0.9581
26,1.4316,0.9514
27,1.4301,0.9574
28,1.4283,0.9449
29,1.4263,0.9351
30,1.4247,0.9492
31,1.4230,0.9415
32,1.4213,0.9443
33,1.4195,0.9480
34,1.4177,0.9578
35,1.4160,0.9732
36,1.4143,0.9790
37,1.4125,0.9629
38,1.4109,0.9846
39,1.4093,0.9561
40,1.4078,0.9571
41,1.4062,0.9386
42,1.4047,0.9563
43,1.4032,0.9423
44,1.4016,0.9363
45,1.4002,0.9437
46,1.3987,0.9630
47,1.3974,0.9774
48,1.3959,0.9608
49,1.3944,0.9432
50,1.3931,0.9371
51,1.3919,0.9241
52,1.3906,0.9254
53,1.3893,0.9397
54,1.3882,0.9445
55,1.3869,0.9443
56,1.3856,0.9353
57,1.3846,0.9470
58,1.3834,0.9285
59,1.3821,0.9103
60,1.3809,0.9250
61,1.3797,0.9211
62,1.3786,0.9236
63,1.3773,0.9051
64,1.3762,0.9078
65,1.3751,0.9111
66,1.3739,0.9159
67,1.3728,0.9139
68,1.3718,0.9172
69,1.3707,0.9109
70,1.3696,0.9095
71,1.3686,0.9107
72,1.3676,0.9234
73,1.3666,0.9217
74,1.3655,0.9010
75,1.3645,0.8953
76,1.3635,0.8999
77,1.3624,0.8838
78,1.3614,0.8918
79,1.3604,0.9010
80,1.3593,0.9045
81,1.3584,0.9286
82,1.3574,0.9063
83,1.3565,0.9071
84,1.3555,0.9006
85,1.3547,0.8957
86,1.3537,0.8790
87,1.3528,0.8888
88,1.3518,0.8879
89,1.3509,0.8857
90,1.3499,0.8821
91,1.3489,0.8794
92,1.3480,0.8837
93,1.3470,0.8800
94,1.3461,0.8881
95,1.3452,0.8668
96,1.3443,0.8793
97,1.3434,0.8835
98,1.3425,0.8816
99,1.3416,0.8694
100,1.3409,0.8956
101,1.3400,0.8698
102,1.3391,0.8689
103,1.3383,0.8764
104,1.3374,0.8651
105,1.3366,0.8764
106,1.3357,0.8656
107,1.3349,0.8794
108,1.3341,0.8707
109,1.3333,0.8641
110,1.3325,0.8698
111,1.3316,0.8578
112,1.3308,0.8657
113,1.3300,0.8537
114,1.3292,0.8555
115,1.3285,0.8688
116,1.3278,0.8658
117,1.3270,0.8630
118,1.3263,0.8578
119,1.3255,0.8532
120,1.3248,0.8553
121,1.3241,0.8609
122,1.3234,0.8595
123,1.3227,0.8597
124,1.3220,0.8571
125,1.3213,0.8625
126,1.3206,0.8499
127,1.3199,0.8527
128,1.3193,0.8626
129,1.3187,0.8523
130,1.3180,0.8525
131,1.3174,0.8580
132,1.3170,0.8944
133,1.3164,0.8601
134,1.3158,0.8555
135,1.3152,0.8638
136,1.3146,0.8529
137,1.3139,0.8480
138,1.3133,0.8435
139,1.3128,0.8526
140,1.3122,0.8444
141,1.3117,0.8517
142,1.3111,0.8404
143,1.3106,0.8583
144,1.3100,0.8391
145,1.3094,0.8460
146,1.3089,0.8454
147,1.3083,0.8458
148,1.3078,0.8658
149,1.3073,0.8486
150,1.3068,0.8541
151,1.3063,0.8418
152,1.3058,0.8422
153,1.3053,0.8353
154,1.3048,0.8408
155,1.3043,0.8508
156,1.3038,0.8378
157,1.3033,0.8479
158,1.3029,0.8472
159,1.3023,0.8310
160,1.3018,0.8390
161,1.3013,0.8388
162,1.3009,0.8484
163,1.3004,0.8338
164,1.2999,0.8389
165,1.2995,0.8378
166,1.2990,0.8415
167,1.2986,0.8383
168,1.2981,0.8350
169,1.2977,0.8375
170,1.2972,0.8430
171,1.2967,0.8331
172,1.2963,0.8275
173,1.2958,0.8358
174,1.2954,0.8322
175,1.2950,0.8211
176,1.2945,0.8297
177,1.2941,0.8289
178,1.2937,0.8238
179,1.2932,0.8227
180,1.2928,0.8235
181,1.2924,0.8302
182,1.2920,0.8242
183,1.2916,0.8388
184,1.2911,0.8219
185,1.2907,0.8256
186,1.2903,0.8282
187,1.2899,0.8299
188,1.2895,0.8218
189,1.2891,0.8255
190,1.2887,0.8213
191,1.2883,0.8130
192,1.2879,0.8337
193,1.2875,0.8207
194,1.2872,0.8300
195,1.2867,0.8158
196,1.2863,0.8185
197,1.2859,0.8252
198,1.2856,0.8248
199,1.2852,0.8179
200,1.2848,0.8126
201,1.2844,0.8181
202,1.2840,0.8206
203,1.2837,0.8216
204,1.2833,0.8156
205,1.2829,0.8173
206,1.2826,0.8277
207,1.2822,0.8190
208,1.2818,0.8133
209,1.2814,0.8109
210,1.2811,0.8166
211,1.2807,0.8213
212,1.2804,0.8154
213,1.2800,0.8179
214,1.2797,0.8160
215,1.2793,0.8191
216,1.2790,0.8101
217,1.2786,0.8154
218,1.2783,0.8195
219,1.2779,0.8095
220,1.2776,0.8182
221,1.2773,0.8128
222,1.2769,0.8073
223,1.2766,0.8094
224,1.2762,0.8136
225,1.2759,0.8162
226,1.2756,0.8139
227,1.2753,0.8155
228,1.2749,0.8111
