iter,loss,rmse
1,0.8047,1.5306
2,1.0715,1.5019
3,1.2029,1.4427
4,1.2789,1.3297
5,1.3274,1.1855
6,1.3590,1.1307
7,1.3795,1.1038
8,1.3928,1.0678
9,1.4012,1.0038
10,1.4078,0.9931
11,1.4129,1.0210
12,1.4162,0.9992
13,1.4183,0.9820
14,1.4186,0.9741
15,1.4182,0.9813
16,1.4175,0.9812
17,1.4167,1.0111
18,1.4163,1.0253
19,1.4155,1.0399
20,1.4145,1.0277
21,1.4134,1.0315
22,1.4121,1.0151
23,1.4111,1.0075
24,1.4096,0.9938
25,1.4082,0.9949
26,1.4068,0.9997
27,1.4054,1.0002
28,1.4041,1.0014
29,1.4026,0.9975
30,1.4011,1.0072
31,1.3996,1.0085
32,1.3982,1.0197
33,1.3967,1.0057
34,1.3954,1.0094
35,1.3941,1.0012
36,1.3925,1.0027
37,1.3911,1.0026
38,1.3899,1.0035
39,1.3884,0.9929
40,1.3869,0.9742
41,1.3857,0.9920
42,1.3849,1.0061
43,1.3837,0.9954
44,1.3823,0.9797
45,1.3813,1.0073
46,1.3803,1.0008
47,1.3790,0.9848
48,1.3776,0.9505
49,1.3765,0.9406
50,1.3753,0.9364
51,1.3739,0.9312
52,1.3727,0.9477
53,1.3714,0.9451
54,1.3703,0.9648
55,1.3690,0.9307
56,1.3678,0.9174
57,1.3665,0.9082
58,1.3652,0.9241
59,1.3639,0.9192
60,1.3626,0.9022
61,1.3614,0.9285
62,1.3601,0.9142
63,1.3588,0.9113
64,1.3575,0.9097
65,1.3563,0.9039
66,1.3551,0.8975
67,1.3540,0.8961
68,1.3528,0.8927
69,1.3517,0.8977
70,1.3506,0.8929
71,1.3495,0.9026
72,1.3484,0.8987
73,1.3473,0.9042
74,1.3462,0.8840
75,1.3451,0.8852
76,1.3441,0.8883
77,1.3431,0.8812
78,1.3420,0.8788
79,1.3410,0.8793
80,1.3401,0.8895
81,1.3392,0.9059
82,1.3383,0.8996
83,1.3374,0.8875
84,1.3365,0.8877
85,1.3356,0.8822
86,1.3347,0.8756
87,1.3338,0.8814
88,1.3330,0.8908
89,1.3321,0.8821
90,1.3313,0.8931
91,1.3305,0.8959
92,1.3297,0.8913
93,1.3289,0.8837
94,1.3282,0.8841
95,1.3273,0.8760
96,1.3266,0.8732
97,1.3258,0.8710
98,1.3250,0.8660
99,1.3242,0.8754
100,1.3235,0.8708
101,1.3228,0.8763
102,1.3220,0.8647
103,1.3212,0.8687
104,1.3205,0.8702
105,1.3198,0.8689
106,1.3191,0.8723
107,1.3184,0.8632
108,1.3178,0.8743
109,1.3171,0.8684
110,1.3164,0.8599
111,1.3157,0.8637
112,1.3150,0.8560
113,1.3144,0.8686
114,1.3138,0.8591
115,1.3131,0.8633
116,1.3125,0.8630
117,1.3119,0.8610
118,1.3112,0.8570
119,1.3106,0.8467
120,1.3100,0.8675
121,1.3094,0.8576
122,1.3088,0.8583
123,1.3082,0.8521
124,1.3076,0.8530
125,1.3070,0.8489
126,1.3065,0.8667
127,1.3058,0.8448
128,1.3052,0.8432
129,1.3046,0.8481
130,1.3040,0.8420
131,1.3035,0.8444
132,1.3029,0.8466
133,1.3024,0.8499
134,1.3018,0.8497
135,1.3013,0.8438
136,1.3007,0.8394
137,1.3002,0.8422
138,1.2996,0.8352
139,1.2991,0.8444
140,1.2986,0.8412
141,1.2981,0.8308
142,1.2975,0.8347
143,1.2971,0.8502
144,1.2966,0.8467
145,1.2961,0.8509
146,1.2956,0.8389
147,1.2951,0.8250
148,1.2945,0.8285
149,1.2940,0.8391
150,1.2935,0.8308
151,1.2930,0.8255
152,1.2925,0.8231
153,1.2920,0.8302
154,1.2915,0.8277
155,1.2910,0.8306
