iter,loss,rmse
1,7.5118,3.5883
2,10.9179,2.9132
3,21.2553,1.6159
4,21.8283,4.5876
5,22.9644,2.5159
6,21.4986,2.3896
7,21.9147,1.3477
8,21.4401,1.2483
9,20.0552,1.5081
10,18.8645,1.2870
11,17.8030,1.2437
12,16.7523,1.2959
13,16.0926,1.3098
14,15.4605,1.3055
15,14.7692,1.6044
16,14.1815,1.2288
17,13.6683,1.2736
18,13.2037,1.2491
19,12.7492,1.2287
20,12.3103,1.1850
21,11.9030,1.2414
22,11.5286,1.2822
23,11.1850,1.2286
24,10.8618,1.1787
25,10.5635,1.1544
26,10.2846,1.1431
27,10.0231,1.1213
28,9.7771,1.1081
29,9.5490,1.0936
30,9.3355,1.0941
31,9.1328,1.0720
32,8.9417,1.0646
33,8.7616,1.0537
34,8.5920,1.0504
35,8.4319,1.0450
36,8.2795,1.0426
37,8.1349,1.0370
38,7.9974,1.0335
39,7.8667,1.0240
40,7.7428,1.0018
41,7.6243,0.9755
42,7.5110,0.9703
43,7.4030,0.9797
44,7.2993,0.9854
45,7.1998,0.9747
46,7.1044,0.9680
47,7.0126,0.9643
48,6.9241,0.9524
49,6.8393,0.9677
50,6.7575,0.9404
51,6.6788,0.9567
52,6.6025,0.9227
53,6.5289,0.9295
54,6.4573,0.9026
55,6.3881,0.9017
56,6.3215,0.9143
57,6.2573,0.9078
58,6.1947,0.8892
59,6.1341,0.8973
60,6.0756,0.8940
61,6.0185,0.8787
62,5.9632,0.8807
63,5.9099,0.8889
64,5.8576,0.8660
65,5.8070,0.8688
66,5.7577,0.8665
67,5.7101,0.8698
68,5.6636,0.8591
69,5.6186,0.8706
70,5.5745,0.8541
71,5.5318,0.8619
72,5.4905,0.8820
73,5.4501,0.8648
74,5.4105,0.8513
75,5.3719,0.8539
76,5.3344,0.8531
77,5.2977,0.8435
78,5.2618,0.8368
79,5.2269,0.8519
80,5.1929,0.8503
81,5.1596,0.8412
82,5.1270,0.8351
83,5.0952,0.8330
84,5.0640,0.8322
85,5.0337,0.8375
86,5.0040,0.8382
87,4.9749,0.8334
88,4.9464,0.8309
89,4.9186,0.8338
90,4.8913,0.8233
91,4.8646,0.8320
92,4.8386,0.8306
93,4.8132,0.8306
94,4.7881,0.8265
95,4.7636,0.8267
96,4.7395,0.8200
97,4.7159,0.8230
98,4.6927,0.8199
99,4.6701,0.8241
100,4.6478,0.8165
101,4.6261,0.8149
102,4.6048,0.8170
103,4.5837,0.8143
104,4.5631,0.8102
105,4.5428,0.8210
106,4.5230,0.8142
107,4.5034,0.8101
108,4.4844,0.8190
109,4.4656,0.8122
110,4.4470,0.8093
111,4.4288,0.8050
112,4.4108,0.8080
113,4.3932,0.8005
114,4.3761,0.8124
115,4.3591,0.8117
116,4.3424,0.8072
117,4.3259,0.8033
118,4.3097,0.8025
119,4.2939,0.8054
120,4.2783,0.8063
121,4.2628,0.8027
122,4.2476,0.7997
123,4.2326,0.7977
124,4.2179,0.7972
125,4.2033,0.7917
126,4.1890,0.8003
127,4.1748,0.7930
128,4.1608,0.7919
129,4.1474,0.8121
130,4.1339,0.7915
131,4.1207,0.8077
132,4.1079,0.8109
133,4.0950,0.7967
134,4.0825,0.8327
135,4.0702,0.8061
136,4.0580,0.8060
137,4.0462,0.8510
138,4.0342,0.7904
139,4.0225,0.7990
140,4.0109,0.8003
141,3.9994,0.8003
142,3.9880,0.7844
143,3.9768,0.7841
144,3.9657,0.7926
145,3.9547,0.7832
146,3.9439,0.7920
147,3.9333,0.7865
148,3.9229,0.7946
149,3.9125,0.7872
150,3.9023,0.7780
151,3.8922,0.7888
152,3.8822,0.7845
153,3.8724,0.7868
154,3.8625,0.7754
155,3.8530,0.7922
156,3.8434,0.7782
157,3.8340,0.7772
158,3.8247,0.7861
159,3.8157,0.7875
160,3.8066,0.7726
161,3.7976,0.7750
162,3.7888,0.7928
163,3.7801,0.7745
164,3.7715,0.7740
165,3.7630,0.7793
166,3.7546,0.7739
167,3.7462,0.7712
168,3.7380,0.7767
169,3.7299,0.7711
170,3.7217,0.7710
171,3.7138,0.7754
172,3.7058,0.7636
173,3.6980,0.7737
174,3.6902,0.7710
175,3.6825,0.7619
176,3.6749,0.7679
177,3.6673,0.7575
178,3.6598,0.7611
179,3.6524,0.7627
180,3.6451,0.7661
181,3.6378,0.7633
182,3.6306,0.7597
183,3.6235,0.7610
184,3.6165,0.7569
185,3.6095,0.7614
186,3.6026,0.7525
187,3.5958,0.7521
188,3.5890,0.7558
189,3.5824,0.7624
190,3.5758,0.7637
191,3.5692,0.7476
192,3.5627,0.7489
193,3.5561,0.7441
194,3.5497,0.7495
195,3.5434,0.7477
196,3.5372,0.7593
197,3.5311,0.7572
198,3.5250,0.7571
199,3.5189,0.7471
200,3.5130,0.7528
201,3.5070,0.7500
202,3.5012,0.7534
203,3.4955,0.7581
204,3.4896,0.7500
205,3.4840,0.7589
206,3.4783,0.7421
207,3.4726,0.7418
208,3.4670,0.7429
209,3.4614,0.7407
210,3.4559,0.7402
211,3.4504,0.7470
212,3.4450,0.7423
213,3.4396,0.7434
214,3.4342,0.7403
215,3.4289,0.7400
216,3.4237,0.7413
217,3.4185,0.7375
218,3.4133,0.7403
219,3.4082,0.7361
220,3.4031,0.7357
221,3.3981,0.7478
222,3.3930,0.7355
223,3.3881,0.7341
224,3.3832,0.7366
225,3.3783,0.7304
226,3.3734,0.7318
227,3.3686,0.7301
228,3.3638,0.7256
229,3.3590,0.7272
230,3.3544,0.7363
231,3.3497,0.7253
232,3.3451,0.7328
233,3.3405,0.7256
234,3.3360,0.7371
235,3.3315,0.7356
236,3.3271,0.7337
237,3.3227,0.7339
238,3.3183,0.7269
239,3.3140,0.7460
240,3.3097,0.7492
241,3.3054,0.7294
242,3.3012,0.7268
243,3.2970,0.7304
244,3.2928,0.7292
245,3.2886,0.7249
246,3.2845,0.7309
247,3.2803,0.7227
248,3.2762,0.7285
249,3.2722,0.7243
250,3.2681,0.7336
251,3.2642,0.7219
252,3.2602,0.7251
253,3.2562,0.7285
254,3.2524,0.7272
255,3.2486,0.7249
256,3.2448,0.7302
257,3.2409,0.7216
258,3.2372,0.7190
259,3.2334,0.7218
260,3.2296,0.7149
261,3.2259,0.7222
262,3.2222,0.7151
263,3.2185,0.7201
264,3.2149,0.7235
265,3.2112,0.7186
266,3.2077,0.7301
267,3.2040,0.7164
268,3.2005,0.7139
269,3.1969,0.7149
270,3.1934,0.7232
271,3.1900,0.7184
272,3.1865,0.7213
273,3.1830,0.7136
274,3.1797,0.7258
275,3.1763,0.7225
276,3.1729,0.7225
277,3.1697,0.7250
278,3.1663,0.7152
279,3.1630,0.7180
280,3.1598,0.7161
281,3.1566,0.7097
282,3.1533,0.7106
283,3.1501,0.7100
284,3.1469,0.7077
285,3.1437,0.7179
286,3.1406,0.7104
287,3.1374,0.7189
288,3.1344,0.7219
289,3.1313,0.7111
290,3.1282,0.7179
291,3.1251,0.7167
292,3.1220,0.7083
293,3.1190,0.7122
294,3.1160,0.7134
295,3.1131,0.7136
296,3.1101,0.7147
297,3.1072,0.7093
298,3.1043,0.7103
299,3.1014,0.7146
300,3.0985,0.7082
301,3.0956,0.7130
302,3.0928,0.7059
303,3.0899,0.7120
304,3.0871,0.7158
305,3.0843,0.7117
306,3.0815,0.7044
307,3.0787,0.7137
308,3.0760,0.7120
309,3.0732,0.7074
310,3.0705,0.7073
311,3.0678,0.7101
312,3.0651,0.7085
313,3.0624,0.7113
314,3.0598,0.7118
315,3.0571,0.7155
316,3.0545,0.7093
317,3.0519,0.7142
318,3.0493,0.7055
319,3.0467,0.7030
320,3.0442,0.7055
321,3.0417,0.7105
322,3.0391,0.7033
323,3.0365,0.6998
324,3.0340,0.7102
325,3.0315,0.7068
326,3.0290,0.6977
327,3.0266,0.7078
