iter,loss,rmse
1,7.0204,2.2324
2,16.9032,1.4793
3,26.6101,3.2610
4,23.2419,1.6605
5,22.4115,2.1977
6,20.4018,1.4654
7,18.6575,1.9076
8,17.2932,1.4633
9,16.2340,1.5943
10,15.1285,1.3058
11,14.3138,1.6339
12,13.5171,1.2717
13,12.8006,1.5136
14,12.2436,1.4905
15,11.7144,1.3617
16,11.2467,1.3791
17,10.8071,1.3918
18,10.4109,1.4875
19,10.0568,1.4033
20,9.7337,1.3915
21,9.4344,1.3939
22,9.1636,1.2908
23,8.9076,1.2265
24,8.6712,1.1428
25,8.4546,1.1126
26,8.2481,1.0959
27,8.0560,1.0629
28,7.8796,1.0247
29,7.7111,1.0056
30,7.5686,1.1703
31,7.4344,1.1523
32,7.2933,1.0334
33,7.1760,1.0321
34,7.0688,1.0622
35,6.9619,1.0267
36,6.8479,0.9987
37,6.7427,1.0447
38,6.6456,1.0318
39,6.5502,1.0019
40,6.4550,0.9370
41,6.3653,0.9535
42,6.2806,0.9602
43,6.1997,0.9618
44,6.1202,0.9220
45,6.0438,0.9411
46,5.9712,0.9287
47,5.9014,0.9315
48,5.8343,0.9395
49,5.7699,0.9369
50,5.7074,0.9210
51,5.6470,0.9126
52,5.5885,0.9000
53,5.5325,0.9132
54,5.4785,0.9148
55,5.4263,0.9115
56,5.3757,0.9029
57,5.3270,0.9016
58,5.2801,0.9127
59,5.2343,0.8930
60,5.1898,0.8861
61,5.1465,0.8751
62,5.1048,0.8838
63,5.0643,0.8887
64,5.0251,0.8784
65,4.9867,0.8702
66,4.9495,0.8778
67,4.9134,0.8765
68,4.8784,0.8701
69,4.8442,0.8772
70,4.8111,0.8758
71,4.7791,0.8719
72,4.7477,0.8685
73,4.7169,0.8589
74,4.6871,0.8641
75,4.6580,0.8649
76,4.6297,0.8637
77,4.6018,0.8520
78,4.5749,0.8691
79,4.5488,0.9088
80,4.5231,0.8636
81,4.4980,0.8589
82,4.4735,0.8525
83,4.4494,0.8477
84,4.4260,0.8482
85,4.4030,0.8525
86,4.3805,0.8378
87,4.3584,0.8363
88,4.3368,0.8419
89,4.3159,0.8519
90,4.2956,0.8476
91,4.2755,0.8444
92,4.2557,0.8351
93,4.2366,0.8492
94,4.2176,0.8337
95,4.1991,0.8448
96,4.1810,0.8298
97,4.1631,0.8301
98,4.1455,0.8303
99,4.1284,0.8304
100,4.1116,0.8296
101,4.0952,0.8402
102,4.0789,0.8287
103,4.0630,0.8256
104,4.0474,0.8228
105,4.0321,0.8277
106,4.0170,0.8236
107,4.0023,0.8321
108,3.9878,0.8214
109,3.9736,0.8186
110,3.9596,0.8231
111,3.9458,0.8251
112,3.9323,0.8171
113,3.9189,0.8207
114,3.9059,0.8243
115,3.8929,0.8082
116,3.8802,0.8178
117,3.8677,0.8245
118,3.8554,0.8046
119,3.8433,0.8180
120,3.8316,0.8143
121,3.8199,0.8136
122,3.8084,0.8122
123,3.7970,0.8130
124,3.7859,0.8097
125,3.7748,0.8110
126,3.7639,0.8111
127,3.7532,0.8126
128,3.7426,0.8029
129,3.7321,0.8039
130,3.7219,0.8036
131,3.7119,0.8193
132,3.7020,0.8124
133,3.6922,0.8027
134,3.6825,0.7981
135,3.6729,0.8029
136,3.6637,0.8051
137,3.6544,0.8052
138,3.6452,0.7951
139,3.6362,0.7994
140,3.6272,0.7996
141,3.6184,0.8011
142,3.6097,0.7925
143,3.6011,0.7903
144,3.5927,0.7970
145,3.5844,0.7889
146,3.5761,0.7951
147,3.5679,0.7845
148,3.5598,0.7996
149,3.5518,0.7805
150,3.5441,0.7931
151,3.5364,0.7883
152,3.5287,0.7861
153,3.5211,0.7873
154,3.5137,0.7893
155,3.5063,0.7867
156,3.4989,0.7787
157,3.4917,0.7802
158,3.4845,0.7849
159,3.4773,0.7734
160,3.4703,0.7779
161,3.4634,0.7771
162,3.4565,0.7732
163,3.4498,0.7856
164,3.4431,0.7903
165,3.4366,0.7827
166,3.4302,0.7829
167,3.4238,0.7805
168,3.4176,0.7797
169,3.4114,0.7870
170,3.4053,0.7901
171,3.3992,0.7848
172,3.3934,0.8033
173,3.3873,0.7811
174,3.3815,0.7860
175,3.3756,0.7735
176,3.3700,0.8017
177,3.3642,0.7677
178,3.3586,0.7879
179,3.3529,0.7743
180,3.3474,0.7891
181,3.3418,0.7701
182,3.3363,0.7640
183,3.3310,0.7746
184,3.3256,0.7664
185,3.3203,0.7799
186,3.3151,0.7759
187,3.3098,0.7668
188,3.3045,0.7609
189,3.2994,0.7616
190,3.2943,0.7627
191,3.2892,0.7572
192,3.2842,0.7642
193,3.2793,0.7627
194,3.2743,0.7569
195,3.2695,0.7718
196,3.2647,0.7646
197,3.2600,0.7645
198,3.2552,0.7550
199,3.2505,0.7579
200,3.2459,0.7559
201,3.2413,0.7590
202,3.2367,0.7512
203,3.2322,0.7627
204,3.2277,0.7538
205,3.2232,0.7490
206,3.2187,0.7529
207,3.2144,0.7503
208,3.2100,0.7500
209,3.2056,0.7497
210,3.2014,0.7608
211,3.1972,0.7570
212,3.1930,0.7638
213,3.1888,0.7460
214,3.1847,0.7460
215,3.1806,0.7439
216,3.1766,0.7436
217,3.1725,0.7437
218,3.1685,0.7464
219,3.1644,0.7428
220,3.1605,0.7476
221,3.1565,0.7397
222,3.1526,0.7358
223,3.1487,0.7359
224,3.1449,0.7498
225,3.1411,0.7387
226,3.1373,0.7340
227,3.1335,0.7458
228,3.1299,0.7431
229,3.1263,0.7390
230,3.1226,0.7269
231,3.1190,0.7312
232,3.1155,0.7485
233,3.1120,0.7419
234,3.1084,0.7408
235,3.1049,0.7368
236,3.1014,0.7257
237,3.0980,0.7311
238,3.0945,0.7292
239,3.0911,0.7445
240,3.0877,0.7377
241,3.0844,0.7244
242,3.0810,0.7247
243,3.0776,0.7275
244,3.0742,0.7258
245,3.0710,0.7225
246,3.0676,0.7245
247,3.0643,0.7132
248,3.0611,0.7311
249,3.0578,0.7187
250,3.0546,0.7303
251,3.0514,0.7252
252,3.0483,0.7183
253,3.0451,0.7150
254,3.0419,0.7203
255,3.0388,0.7132
256,3.0357,0.7129
257,3.0326,0.7115
258,3.0295,0.7167
259,3.0265,0.7185
260,3.0234,0.7077
261,3.0204,0.7236
262,3.0175,0.7174
263,3.0145,0.7154
264,3.0116,0.7238
265,3.0087,0.7207
266,3.0058,0.7051
267,3.0029,0.7086
268,3.0000,0.7155
269,2.9971,0.7040
270,2.9943,0.7066
271,2.9914,0.7078
272,2.9887,0.7085
273,2.9859,0.7073
274,2.9831,0.7024
275,2.9803,0.7130
276,2.9775,0.6996
277,2.9748,0.7095
278,2.9720,0.7066
279,2.9694,0.7165
280,2.9666,0.7016
281,2.9641,0.7075
282,2.9614,0.7027
283,2.9588,0.6977
284,2.9562,0.7059
285,2.9536,0.7023
286,2.9510,0.7041
287,2.9484,0.6937
288,2.9459,0.7124
289,2.9434,0.7061
290,2.9409,0.7043
291,2.9384,0.7048
292,2.9359,0.6959
293,2.9334,0.7055
294,2.9310,0.6974
295,2.9285,0.7068
296,2.9261,0.6974
297,2.9237,0.6982
