iter,loss,rmse
1,5.6911,3.1921
2,11.0862,1.4492
3,18.3362,7.1635
4,21.4609,3.4019
5,19.8314,2.7904
6,18.9617,3.1645
7,17.7964,2.0845
8,16.4705,1.5774
9,15.2600,1.4669
10,14.3947,1.3918
11,13.5760,2.2392
12,12.8389,1.5842
13,12.1766,1.4693
14,11.6004,1.3511
15,11.0854,1.3649
16,10.6226,1.2324
17,10.2130,1.2653
18,9.8372,1.2546
19,9.5008,1.4496
20,9.1973,1.3106
21,8.9162,1.2853
22,8.6627,1.3016
23,8.4231,1.0885
24,8.2022,1.0889
25,7.9995,1.0908
26,7.8072,1.0488
27,7.6260,0.9911
28,7.4567,0.9832
29,7.2974,0.9734
30,7.1490,0.9670
31,7.0086,0.9341
32,6.8765,0.9548
33,6.7514,0.9381
34,6.6333,0.9378
35,6.5208,0.9248
36,6.4146,0.9307
37,6.3140,0.9218
38,6.2181,0.9124
39,6.1267,0.9076
40,6.0392,0.8953
41,5.9560,0.8964
42,5.8764,0.8962
43,5.8001,0.8834
44,5.7278,0.8937
45,5.6582,0.8808
46,5.5913,0.8760
47,5.5272,0.8756
48,5.4654,0.8759
49,5.4065,0.8932
50,5.3494,0.8738
51,5.2942,0.8613
52,5.2415,0.8681
53,5.1905,0.8647
54,5.1416,0.8769
55,5.0940,0.8597
56,5.0479,0.8520
57,5.0035,0.8501
58,4.9604,0.8505
59,4.9188,0.8513
60,4.8784,0.8440
61,4.8396,0.8520
62,4.8015,0.8346
63,4.7648,0.8451
64,4.7290,0.8326
65,4.6944,0.8412
66,4.6607,0.8314
67,4.6282,0.8440
68,4.5964,0.8329
69,4.5654,0.8273
70,4.5354,0.8314
71,4.5061,0.8256
72,4.4776,0.8250
73,4.4498,0.8210
74,4.4227,0.8240
75,4.3964,0.8291
76,4.3707,0.8267
77,4.3457,0.8195
78,4.3212,0.8149
79,4.2975,0.8249
80,4.2742,0.8187
81,4.2515,0.8140
82,4.2296,0.8232
83,4.2080,0.8180
84,4.1868,0.8128
85,4.1661,0.8124
86,4.1459,0.8122
87,4.1261,0.8082
88,4.1066,0.8075
89,4.0877,0.8129
90,4.0692,0.8111
91,4.0512,0.8101
92,4.0333,0.8067
93,4.0159,0.8126
94,3.9990,0.8038
95,3.9821,0.7927
96,3.9657,0.8002
97,3.9496,0.8087
98,3.9338,0.8030
99,3.9183,0.8002
100,3.9032,0.8082
101,3.8883,0.7987
102,3.8736,0.7962
103,3.8594,0.8015
104,3.8451,0.7889
105,3.8313,0.7960
106,3.8177,0.7923
107,3.8044,0.7952
108,3.7914,0.8024
