iter,loss,rmse
1,7.0204,2.2324
2,16.9242,1.4789
3,26.6378,3.2663
4,23.2738,1.6298
5,22.3983,2.1703
6,20.4149,1.4360
7,18.6798,1.8825
8,17.2548,1.4943
9,16.3128,1.7264
10,15.1923,1.2967
11,14.5103,1.2985
12,13.7141,1.3369
13,13.2393,1.7439
14,12.7195,1.4227
15,12.2078,1.6505
16,11.7497,1.6294
17,11.3040,1.6113
18,10.9021,1.5947
19,10.5237,1.5178
20,10.1794,1.4724
21,9.8600,1.5099
22,9.5792,1.5098
23,9.3149,1.4721
24,9.0858,1.5522
25,8.8727,1.4997
26,8.6604,1.3807
27,8.4678,1.3902
28,8.2815,1.3910
29,8.1107,1.4076
30,7.9490,1.3484
31,7.7922,1.2943
32,7.6443,1.2014
33,7.5045,1.1516
34,7.3713,1.1074
35,7.2446,1.0471
36,7.1230,1.0258
37,7.0083,1.0076
38,6.8984,1.0139
39,6.7931,0.9889
40,6.6917,0.9492
41,6.5950,0.9477
42,6.5030,0.9585
43,6.4147,0.9478
44,6.3296,0.9392
45,6.2481,0.9240
46,6.1697,0.9185
47,6.0950,0.9346
48,6.0236,0.9490
49,5.9545,0.9243
50,5.8880,0.9278
51,5.8240,0.9145
52,5.7621,0.9040
53,5.7030,0.9211
54,5.6453,0.8942
55,5.5897,0.8927
56,5.5359,0.8925
57,5.4841,0.9085
58,5.4343,0.9069
59,5.3855,0.8816
60,5.3387,0.8904
61,5.2930,0.8764
62,5.2487,0.8763
63,5.2058,0.8809
64,5.1641,0.8713
65,5.1237,0.8696
66,5.0844,0.8768
67,5.0463,0.8839
68,5.0094,0.8806
69,4.9732,0.8732
70,4.9381,0.8659
71,4.9039,0.8670
72,4.8707,0.8661
73,4.8382,0.8622
74,4.8067,0.8608
75,4.7759,0.8628
76,4.7459,0.8524
77,4.7166,0.8552
78,4.6881,0.8605
79,4.6602,0.8670
80,4.6331,0.8712
81,4.6067,0.8500
82,4.5808,0.8557
83,4.5555,0.8530
84,4.5309,0.8531
85,4.5067,0.8606
86,4.4830,0.8464
87,4.4597,0.8355
88,4.4370,0.8463
89,4.4150,0.8517
90,4.3933,0.8459
91,4.3720,0.8345
92,4.3511,0.8323
93,4.3308,0.8514
94,4.3109,0.8380
95,4.2914,0.8483
96,4.2722,0.8341
97,4.2535,0.8404
98,4.2350,0.8293
99,4.2170,0.8400
100,4.1992,0.8262
101,4.1818,0.8383
102,4.1647,0.8277
103,4.1480,0.8214
104,4.1316,0.8276
105,4.1156,0.8308
106,4.1001,0.8335
107,4.0846,0.8374
108,4.0695,0.8257
109,4.0551,0.8291
110,4.0403,0.8239
111,4.0263,0.8360
112,4.0121,0.8198
113,3.9985,0.8327
114,3.9848,0.8261
115,3.9716,0.8433
116,3.9583,0.8226
117,3.9454,0.8357
118,3.9327,0.8196
119,3.9199,0.8140
120,3.9075,0.8160
121,3.8952,0.8131
122,3.8831,0.8121
123,3.8713,0.8140
124,3.8594,0.8063
125,3.8478,0.8129
126,3.8365,0.8131
127,3.8252,0.8112
128,3.8143,0.8127
129,3.8032,0.8026
130,3.7926,0.8085
131,3.7822,0.8311
132,3.7718,0.8187
133,3.7616,0.8098
134,3.7514,0.8055
135,3.7414,0.8048
136,3.7317,0.8061
137,3.7220,0.8107
138,3.7124,0.7984
139,3.7028,0.7986
140,3.6935,0.7966
141,3.6843,0.8039
142,3.6751,0.8016
143,3.6661,0.7939
144,3.6573,0.7941
145,3.6485,0.7930
146,3.6398,0.8009
147,3.6312,0.7850
148,3.6228,0.8010
149,3.6144,0.7906
150,3.6063,0.7927
151,3.5981,0.7899
152,3.5901,0.7952
153,3.5821,0.7901
154,3.5742,0.7852
155,3.5664,0.7851
156,3.5587,0.7821
157,3.5510,0.7841
158,3.5436,0.7996
159,3.5361,0.7757
160,3.5287,0.7789
161,3.5214,0.7811
162,3.5142,0.7762
163,3.5071,0.7826
164,3.5001,0.7924
165,3.4932,0.7800
166,3.4863,0.7807
167,3.4795,0.7821
168,3.4727,0.7706
169,3.4663,0.7896
170,3.4597,0.7743
171,3.4532,0.7763
172,3.4467,0.7782
173,3.4404,0.7775
174,3.4341,0.7825
175,3.4279,0.7708
