iter,loss,rmse
1,-20.9309,3.2044
2,-28.7904,5.5689
3,-35.1314,3.2546
4,-32.9054,3.4715
5,-32.1246,3.2461
6,-34.5949,6.0240
7,-36.0849,5.0410
8,-37.9879,3.2271
9,-38.9471,2.9875
10,-39.8881,1.9526
11,-41.1828,1.6432
12,-42.3301,1.9717
13,-43.2525,2.5869
14,-44.0759,2.0144
15,-44.8060,1.3387
16,-45.5058,1.2928
17,-46.6300,1.5595
18,-47.7605,2.1123
19,-48.2305,2.0499
20,-49.9661,1.5643
21,-51.1501,1.5076
22,-52.1202,1.5436
23,-54.5557,1.5957
24,-54.8594,1.5304
25,-54.9635,1.2303
26,-55.0498,1.9414
27,-55.1536,1.5907
28,-55.2280,1.1831
29,-55.2562,1.1380
30,-55.3487,1.2224
31,-55.4112,1.5447
32,-55.4216,1.3190
33,-55.4665,1.1138
34,-55.4925,1.1953
35,-55.5623,1.1146
36,-55.6019,1.2576
37,-55.6415,1.2060
38,-55.6800,1.1506
39,-55.7150,1.0580
40,-55.7580,1.0819
41,-55.8123,1.0897
42,-55.8450,1.0768
43,-55.8761,1.1315
44,-55.9094,1.0487
45,-55.9434,1.2077
46,-55.9744,1.1332
47,-56.0055,1.0493
48,-56.0402,1.0342
49,-56.0664,1.0759
50,-56.0921,1.0211
51,-56.1209,1.0052
52,-56.2010,1.0016
53,-56.2232,0.9976
54,-56.2465,1.0006
55,-56.2678,0.9975
56,-56.3193,0.9749
57,-56.3386,0.9847
58,-56.3596,0.9762
59,-56.3789,0.9685
60,-56.4062,0.9857
61,-56.5744,0.9532
62,-56.6004,0.9647
63,-56.6116,0.9856
64,-56.6237,0.9515
65,-56.6375,0.9755
66,-56.6499,0.9468
67,-56.6702,0.9416
68,-56.6810,0.9470
69,-56.6909,0.9563
70,-56.7262,0.9488
71,-56.7338,0.9997
72,-56.7450,0.9543
73,-56.7601,0.9409
74,-56.7693,0.9314
75,-57.1466,0.9377
76,-57.1510,0.9751
77,-57.6185,0.9380
78,-57.6160,1.0296
79,-57.6173,0.9542
80,-57.6173,0.9544
81,-57.6746,0.9318
82,-57.6697,0.9732
83,-57.6688,0.9133
84,-57.7579,0.9360
85,-57.7539,1.0184
86,-57.7522,0.9525
87,-57.7525,0.9345
88,-57.7511,0.9777
89,-57.7603,0.9496
90,-57.7584,0.9275
91,-57.7563,0.9310
92,-57.7599,0.9534
93,-57.7599,0.9489
94,-57.7678,0.9323
95,-57.7666,0.9836
96,-57.8128,0.9880
97,-58.0355,0.9714
98,-58.0395,0.9576
99,-58.0481,0.9544
100,-58.0450,0.9341
101,-58.0404,0.9272
102,-58.0334,0.9322
103,-58.0258,0.9369
104,-58.0177,0.9630
105,-58.0148,0.9470
106,-58.0052,0.9354
107,-57.9937,0.9272
108,-57.9868,0.9171
109,-57.9799,0.9302
110,-57.9764,0.9190
111,-57.9659,0.9203
112,-57.9550,0.9482
113,-57.9395,0.9441
114,-57.9691,0.9379
115,-57.9814,0.9693
116,-57.9860,0.9647
117,-58.0300,0.9882
118,-58.0845,0.9850
119,-58.0931,0.9754
120,-58.1340,1.0011
121,-58.1484,0.9891
122,-58.1570,0.9883
123,-58.1646,1.0057
124,-58.1980,0.9923
