iter,loss,rmse
1,7.0204,2.2324
2,16.9035,1.4793
3,26.6086,3.2608
4,23.2400,1.6577
5,22.4108,2.1939
6,20.3993,1.4644
7,18.6561,1.9129
8,17.2951,1.4621
9,16.2259,1.5774
10,15.1224,1.3083
11,14.3166,1.6388
12,13.5130,1.2915
13,12.7921,1.4966
14,12.2302,1.4715
15,11.7037,1.3219
16,11.2071,1.3769
17,10.8251,1.2671
18,10.4500,1.3185
19,10.1593,1.6596
20,9.8809,1.6051
21,9.5860,1.5715
22,9.3305,1.3998
23,9.0815,1.3788
24,8.8526,1.3062
25,8.6410,1.2638
26,8.4328,1.2535
27,8.2449,1.2333
28,8.0643,1.2103
29,7.8952,1.1511
30,7.7350,1.1134
31,7.5816,1.0496
32,7.4394,1.0296
33,7.3019,1.0186
34,7.1716,0.9903
35,7.0486,0.9766
36,6.9306,0.9511
37,6.8187,0.9504
38,6.7116,0.9649
39,6.6104,1.0032
40,6.5132,0.9462
41,6.4201,0.9349
42,6.3313,0.9391
43,6.2460,0.9240
44,6.1646,0.9297
45,6.0867,0.9303
46,6.0122,0.9249
47,5.9408,0.9580
48,5.8715,0.9063
49,5.8053,0.9152
50,5.7420,0.9512
51,5.6803,0.8993
52,5.6210,0.8962
53,5.5639,0.8963
54,5.5087,0.8991
55,5.4555,0.8945
56,5.4042,0.8936
57,5.3543,0.8811
58,5.3062,0.8845
59,5.2594,0.8769
60,5.2143,0.8823
61,5.1703,0.8692
62,5.1278,0.8720
63,5.0867,0.8863
64,5.0466,0.8608
65,5.0079,0.8680
66,4.9702,0.8648
67,4.9335,0.8699
68,4.8980,0.8663
69,4.8632,0.8591
70,4.8295,0.8597
71,4.7968,0.8601
72,4.7650,0.8630
73,4.7338,0.8535
74,4.7036,0.8576
75,4.6739,0.8514
76,4.6452,0.8494
77,4.6170,0.8466
78,4.5898,0.8580
79,4.5630,0.8461
80,4.5368,0.8448
81,4.5114,0.8509
82,4.4865,0.8436
83,4.4622,0.8448
84,4.4387,0.8412
85,4.4155,0.8492
86,4.3927,0.8372
87,4.3703,0.8285
88,4.3486,0.8352
89,4.3274,0.8450
90,4.3066,0.8352
91,4.2863,0.8286
92,4.2663,0.8306
93,4.2470,0.8363
94,4.2279,0.8311
95,4.2090,0.8283
96,4.1911,0.8370
97,4.1734,0.8279
98,4.1556,0.8188
99,4.1387,0.8321
100,4.1217,0.8203
101,4.1055,0.8411
102,4.0890,0.8242
103,4.0730,0.8218
104,4.0573,0.8225
105,4.0419,0.8204
106,4.0266,0.8173
107,4.0117,0.8263
108,3.9971,0.8186
109,3.9827,0.8163
110,3.9685,0.8131
111,3.9546,0.8148
112,3.9409,0.8123
