iter,loss,rmse
1,0.8047,1.5328
2,1.0700,1.4823
3,1.2007,1.3417
4,1.2768,1.3387
5,1.3249,1.2580
6,1.3579,1.1104
7,1.3841,1.3487
8,1.4021,1.1494
9,1.4157,1.1407
10,1.4263,1.1621
11,1.4345,1.1358
12,1.4411,1.1556
13,1.4463,1.0944
14,1.4503,1.0776
15,1.4533,1.0621
16,1.4556,1.0943
17,1.4575,1.1201
18,1.4586,1.0431
19,1.4593,0.9925
20,1.4596,0.9739
21,1.4596,0.9881
22,1.4594,1.0262
23,1.4586,0.9931
24,1.4577,0.9654
25,1.4567,0.9402
26,1.4553,0.9475
27,1.4538,0.9307
28,1.4521,0.9477
29,1.4503,0.9544
30,1.4484,0.9395
31,1.4464,0.8916
32,1.4442,0.8923
33,1.4419,0.9123
34,1.4397,0.9184
35,1.4371,0.8972
36,1.4347,0.8796
37,1.4322,0.8909
38,1.4298,0.8801
39,1.4274,0.8881
40,1.4248,0.8849
41,1.4226,0.9002
42,1.4202,0.8945
43,1.4179,0.8887
44,1.4156,0.8774
45,1.4135,0.8856
46,1.4113,0.8710
47,1.4089,0.8672
48,1.4067,0.8694
49,1.4047,0.8715
50,1.4025,0.8962
51,1.4006,0.8869
52,1.3986,0.8782
53,1.3966,0.8630
54,1.3946,0.8674
55,1.3926,0.8622
56,1.3907,0.8581
57,1.3887,0.8771
58,1.3868,0.8700
59,1.3849,0.8631
60,1.3831,0.8532
61,1.3813,0.8614
62,1.3797,0.8634
63,1.3779,0.8530
64,1.3761,0.8521
65,1.3745,0.8758
66,1.3728,0.8514
67,1.3710,0.8485
68,1.3694,0.8526
69,1.3677,0.8406
70,1.3660,0.8391
71,1.3644,0.8413
72,1.3628,0.8363
73,1.3613,0.8616
74,1.3597,0.8382
75,1.3582,0.8439
76,1.3566,0.8268
77,1.3550,0.8279
78,1.3535,0.8237
79,1.3521,0.8408
80,1.3506,0.8258
81,1.3491,0.8179
82,1.3475,0.8173
83,1.3461,0.8303
84,1.3446,0.8136
85,1.3431,0.8185
86,1.3417,0.8163
87,1.3403,0.8201
88,1.3390,0.8132
89,1.3376,0.8213
90,1.3362,0.8088
91,1.3350,0.8095
92,1.3336,0.8058
93,1.3322,0.8087
94,1.3310,0.8202
95,1.3297,0.8054
96,1.3283,0.8035
97,1.3271,0.8142
98,1.3258,0.8038
99,1.3246,0.8036
100,1.3235,0.8085
101,1.3223,0.8245
102,1.3211,0.7983
103,1.3199,0.7964
104,1.3188,0.8025
105,1.3177,0.8215
106,1.3166,0.8099
107,1.3155,0.8066
108,1.3144,0.7975
109,1.3133,0.8013
110,1.3122,0.7969
111,1.3112,0.7979
112,1.3102,0.7983
113,1.3092,0.8054
114,1.3082,0.7951
115,1.3073,0.8006
116,1.3063,0.7887
117,1.3053,0.7942
118,1.3044,0.8100
119,1.3035,0.8068
120,1.3025,0.7909
121,1.3016,0.8003
122,1.3007,0.7917
123,1.2997,0.7843
124,1.2987,0.7869
125,1.2978,0.7844
126,1.2969,0.7836
127,1.2959,0.7825
128,1.2950,0.7864
129,1.2941,0.7825
130,1.2932,0.7814
131,1.2924,0.7858
132,1.2915,0.7819
133,1.2906,0.7828
134,1.2898,0.7828
135,1.2890,0.7796
136,1.2881,0.7784
137,1.2873,0.7813
138,1.2865,0.7824
139,1.2857,0.7785
140,1.2848,0.7786
141,1.2840,0.7779
142,1.2832,0.7754
143,1.2824,0.7719
144,1.2816,0.7672
145,1.2807,0.7611
146,1.2800,0.7708
147,1.2792,0.7763
148,1.2784,0.7679
149,1.2777,0.7712
150,1.2770,0.7750
151,1.2762,0.7706
152,1.2755,0.7706
153,1.2748,0.7686
154,1.2740,0.7657
155,1.2733,0.7737
156,1.2726,0.7706
157,1.2719,0.7642
158,1.2712,0.7717
159,1.2705,0.7675
160,1.2698,0.7646
161,1.2691,0.7659
162,1.2684,0.7605
163,1.2678,0.7642
164,1.2671,0.7607
165,1.2664,0.7620
166,1.2657,0.7687
167,1.2651,0.7643
168,1.2645,0.7645
169,1.2638,0.7564
170,1.2631,0.7542
171,1.2625,0.7611
172,1.2619,0.7562
173,1.2612,0.7534
174,1.2606,0.7609
175,1.2600,0.7515
176,1.2593,0.7499
177,1.2587,0.7484
178,1.2580,0.7476
179,1.2574,0.7511
180,1.2568,0.7481
181,1.2562,0.7458
182,1.2556,0.7507
183,1.2550,0.7429
184,1.2544,0.7496
185,1.2538,0.7459
186,1.2532,0.7435
187,1.2526,0.7467
188,1.2520,0.7423
189,1.2514,0.7443
190,1.2508,0.7422
191,1.2502,0.7386
192,1.2497,0.7487
193,1.2491,0.7476
194,1.2485,0.7402
195,1.2480,0.7372
196,1.2474,0.7431
197,1.2468,0.7357
198,1.2463,0.7391
199,1.2457,0.7393
200,1.2452,0.7316
201,1.2446,0.7328
202,1.2440,0.7316
203,1.2435,0.7293
204,1.2429,0.7343
205,1.2424,0.7384
206,1.2419,0.7344
207,1.2413,0.7391
208,1.2408,0.7286
209,1.2403,0.7342
210,1.2398,0.7438
211,1.2392,0.7301
212,1.2387,0.7222
213,1.2382,0.7255
214,1.2377,0.7300
215,1.2371,0.7276
216,1.2366,0.7254
217,1.2361,0.7218
218,1.2356,0.7334
219,1.2351,0.7213
220,1.2346,0.7221
221,1.2341,0.7213
222,1.2335,0.7212
223,1.2330,0.7195
224,1.2325,0.7161
225,1.2320,0.7262
226,1.2315,0.7139
227,1.2310,0.7068
228,1.2305,0.7189
229,1.2300,0.7164
230,1.2295,0.7176
231,1.2290,0.7144
232,1.2285,0.7187
233,1.2281,0.7162
234,1.2276,0.7157
235,1.2271,0.7094
236,1.2266,0.7080
237,1.2261,0.7244
238,1.2257,0.7112
239,1.2252,0.7119
240,1.2247,0.7090
241,1.2242,0.7071
242,1.2238,0.7051
243,1.2233,0.7025
244,1.2229,0.7176
245,1.2224,0.7114
246,1.2220,0.7077
247,1.2215,0.7165
248,1.2211,0.7001
249,1.2206,0.7101
250,1.2201,0.7025
251,1.2197,0.7030
252,1.2192,0.7066
253,1.2188,0.6971
254,1.2183,0.7027
255,1.2178,0.7009
256,1.2174,0.7038
257,1.2169,0.6995
258,1.2165,0.7055
259,1.2161,0.6987
260,1.2156,0.6949
261,1.2152,0.7060
262,1.2148,0.7019
263,1.2144,0.7051
264,1.2139,0.6946
265,1.2135,0.6976
266,1.2130,0.6908
267,1.2126,0.6959
268,1.2122,0.7025
269,1.2118,0.6979
270,1.2114,0.6994
271,1.2110,0.6946
272,1.2105,0.6993
273,1.2101,0.6865
274,1.2098,0.7020
275,1.2093,0.6897
276,1.2089,0.6872
277,1.2085,0.6931
278,1.2081,0.6894
279,1.2077,0.6894
280,1.2073,0.6918
281,1.2068,0.6909
282,1.2064,0.6853
283,1.2060,0.6907
284,1.2056,0.6894
285,1.2052,0.6968
286,1.2048,0.6864
287,1.2044,0.6841
288,1.2040,0.6831
289,1.2036,0.6921
290,1.2032,0.6910
291,1.2029,0.6891
292,1.2025,0.7083
293,1.2021,0.6787
294,1.2017,0.6923
295,1.2014,0.6886
296,1.2010,0.6958
297,1.2006,0.6865
298,1.2002,0.6824
299,1.1998,0.6832
300,1.1994,0.6786
301,1.1990,0.6801
302,1.1987,0.6786
303,1.1983,0.6762
304,1.1979,0.6784
305,1.1975,0.6755
306,1.1971,0.6860
307,1.1967,0.6777
308,1.1964,0.6840
309,1.1960,0.6780
310,1.1956,0.6702
311,1.1952,0.6785
312,1.1949,0.6683
313,1.1945,0.6751
314,1.1941,0.6691
315,1.1937,0.6755
316,1.1934,0.6665
317,1.1930,0.6720
318,1.1926,0.6831
319,1.1923,0.6682
320,1.1919,0.6763
321,1.1915,0.6728
322,1.1912,0.6584
323,1.1908,0.6666
324,1.1904,0.6649
325,1.1900,0.6681
326,1.1897,0.6627
327,1.1893,0.6700
328,1.1889,0.6639
329,1.1886,0.6682
330,1.1882,0.6675
331,1.1879,0.6598
332,1.1875,0.6611
333,1.1871,0.6632
334,1.1868,0.6550
335,1.1864,0.6655
336,1.1860,0.6615
337,1.1857,0.6608
338,1.1853,0.6627
339,1.1850,0.6682
340,1.1846,0.6654
341,1.1843,0.6670
342,1.1840,0.6638
343,1.1836,0.6646
344,1.1833,0.6683
345,1.1829,0.6682
346,1.1826,0.6589
347,1.1822,0.6603
348,1.1819,0.6552
349,1.1816,0.6622
350,1.1812,0.6643
351,1.1809,0.6692
352,1.1806,0.6652
353,1.1802,0.6512
354,1.1799,0.6549
355,1.1795,0.6588
356,1.1792,0.6590
357,1.1789,0.6594
358,1.1785,0.6654
359,1.1782,0.6554
360,1.1779,0.6589
361,1.1776,0.6553
362,1.1772,0.6624
363,1.1769,0.6568
364,1.1766,0.6570
365,1.1763,0.6535
366,1.1760,0.6614
367,1.1756,0.6581
368,1.1753,0.6560
369,1.1750,0.6611
370,1.1747,0.6572
371,1.1744,0.6606
