iter,loss,rmse
1,-29.1009,1.5332
2,-60.6583,1.5056
3,-71.3020,1.4894
4,-68.3762,1.4728
5,-67.5017,1.4261
6,-65.7521,1.3160
7,-78.3406,1.2100
8,-78.4957,1.1325
9,-78.1260,1.2161
10,-76.1646,1.4682
11,-74.5583,1.1723
12,-73.1526,1.1071
13,-71.9850,1.0859
14,-71.0579,1.1213
15,-70.1667,1.1228
16,-69.3447,1.2350
17,-69.7292,1.2180
18,-70.5898,1.3593
19,-70.7644,1.3819
20,-70.1320,1.4164
21,-70.3615,1.3539
22,-72.4942,1.3150
23,-72.5864,1.2666
24,-72.2558,1.2880
25,-71.9421,1.2078
26,-71.5200,1.1959
27,-71.0247,1.1638
28,-70.5495,1.1380
29,-70.0445,1.0947
30,-69.8171,1.1427
31,-69.4399,1.1083
32,-69.0364,1.0765
33,-68.7132,1.0563
34,-68.4993,1.0477
35,-68.4998,1.0425
36,-68.4939,1.0612
37,-68.2298,1.0516
38,-68.0520,1.0656
39,-67.7962,1.0497
40,-67.7882,1.0861
41,-68.1430,1.1159
42,-68.1600,1.1345
43,-68.1881,1.1928
44,-68.1532,1.1712
45,-67.9482,1.1230
46,-67.7812,1.0544
47,-67.6961,1.0786
48,-67.6206,1.0586
49,-67.4186,1.0437
50,-67.2608,1.0518
51,-67.3676,1.0424
52,-67.4920,1.0731
53,-67.8553,1.1407
54,-67.9476,1.1800
55,-68.2782,1.1589
56,-68.5293,1.1585
57,-68.3510,1.1611
58,-68.1693,1.0725
59,-68.2095,1.0564
60,-68.0407,1.0754
61,-68.0125,1.0805
62,-67.9501,1.0874
63,-67.9715,1.0832
64,-67.9774,1.0687
65,-67.9072,1.0433
66,-67.9161,1.0597
67,-67.7619,1.1027
68,-67.6120,1.0500
69,-67.4918,1.0417
70,-67.3413,1.0421
71,-67.2880,1.0631
72,-67.1494,1.1388
73,-67.0156,1.0591
74,-66.8869,1.0940
75,-66.7615,1.1386
76,-66.6394,1.0828
77,-66.5218,1.0839
78,-66.4026,1.0450
79,-66.2871,1.1226
80,-66.1750,1.0334
81,-66.0706,1.0285
82,-65.9672,1.0578
83,-65.8826,1.0230
84,-65.7835,1.0195
85,-65.6902,1.0650
86,-65.6025,1.0623
87,-65.5135,1.0167
88,-65.4218,1.0437
89,-65.3426,1.0018
90,-65.2553,1.0060
91,-65.1688,1.0033
92,-65.0932,1.0138
93,-65.0094,0.9998
94,-64.9294,1.0121
95,-64.8561,0.9991
96,-64.7799,0.9796
97,-64.7074,1.0045
98,-64.6363,0.9944
99,-64.5644,0.9855
100,-64.4981,0.9868
101,-64.4163,1.0014
102,-64.4494,1.0154
103,-64.3672,1.0237
104,-64.3091,1.0587
105,-64.2518,1.0418
106,-64.1832,1.0356
107,-64.1287,1.0219
108,-64.0952,1.0034
109,-64.0288,1.0161
110,-63.9599,0.9743
111,-63.8695,0.9793
112,-63.8014,0.9894
113,-63.7626,0.9994
114,-63.6974,1.0100
115,-63.6447,1.0463
116,-63.5911,1.0307
117,-63.5226,1.0230
118,-63.4752,1.0001
119,-63.5096,1.0097
120,-63.5118,1.0244
121,-63.5687,1.0110
122,-63.5883,1.0009
123,-63.5887,1.0026
124,-63.6907,1.0030
125,-63.7309,1.0133
126,-63.7744,1.0041
127,-63.7734,1.0109
128,-63.7366,0.9991
129,-63.7373,0.9905
130,-63.7495,0.9926
131,-63.7099,1.0163
132,-63.6720,1.0152
133,-63.6951,1.0124
134,-63.6422,1.0190
135,-63.6084,0.9916
136,-63.7020,0.9783
137,-63.6493,0.9864
138,-63.5886,0.9879
139,-63.5623,1.0124
140,-63.5515,0.9996
141,-63.5650,1.0315
142,-63.6063,1.0474
143,-63.7079,1.0401
144,-63.8424,1.0230
145,-63.8438,1.0169
146,-63.8791,1.0113
147,-64.0446,1.0125
148,-64.1951,1.0203
149,-64.2857,1.0012
150,-64.3521,1.0338
151,-64.4361,1.0052
152,-64.5108,1.0187
153,-64.5203,1.0237
154,-64.6141,1.0257
155,-64.7844,1.0091
156,-65.0129,1.0277
157,-65.2196,1.0212
158,-65.4567,1.0278
159,-65.7242,1.0169
160,-65.9954,1.0197
161,-66.2248,1.0423
162,-66.3325,1.0141
163,-66.4972,0.9968
164,-66.7254,1.0034
165,-66.9240,1.0071
166,-67.0239,0.9991
167,-67.3525,0.9953
168,-67.5561,1.0013
169,-67.7069,1.0114
170,-68.0257,1.0052
171,-68.1562,1.0049
172,-68.0950,1.0720
173,-68.0515,1.0127
174,-67.9869,2.1972
175,-67.9218,1.4005
176,-68.2254,1.2913
177,-68.1578,1.3697
178,-68.1003,1.0976
179,-68.0379,1.1897
180,-67.9779,1.0875
181,-67.9206,1.2856
182,-67.8820,1.3535
183,-67.8193,1.8142
184,-67.7686,1.1042
185,-67.7172,1.0547
186,-67.6562,1.0781
187,-68.2496,1.1294
188,-68.1910,1.9066
189,-68.1320,1.5201
190,-68.0774,1.1092
191,-68.0201,1.1271
192,-67.9649,1.0941
193,-67.9148,1.0488
194,-67.8697,1.3256
195,-67.8156,1.6222
196,-67.7605,1.5681
197,-67.7061,1.2405
198,-67.6546,1.1090
199,-67.6771,1.2189
200,-67.6295,1.4244
201,-67.5768,1.5624
202,-67.5258,1.3421
203,-67.4766,1.1504
204,-67.4290,1.1202
205,-67.4089,1.1347
206,-67.3536,1.1733
207,-67.3082,1.1728
208,-67.2707,1.1179
209,-67.2214,1.1257
210,-67.1855,1.1609
211,-67.1376,1.1745
212,-67.0911,1.1285
213,-67.0476,1.0790
214,-67.0161,1.1304
215,-66.9713,1.2045
216,-66.9274,1.1797
217,-66.8828,1.1528
218,-66.8407,1.0906
219,-66.7997,1.0328
220,-66.7766,1.0465
221,-66.7345,1.0589
222,-66.6923,1.0267
223,-66.6505,1.0277
224,-66.6090,1.0418
225,-66.5693,1.0230
226,-66.5318,1.0832
227,-66.5233,1.0251
228,-66.4840,0.9957
229,-66.4449,1.0082
230,-66.4122,1.0004
231,-66.3738,0.9910
232,-66.3351,0.9927
233,-66.2974,0.9865
234,-66.2600,0.9741
235,-66.2349,0.9848
236,-66.1994,1.0237
237,-66.1860,0.9845
238,-66.1487,0.9807
239,-66.1128,0.9782
240,-66.0774,0.9843
241,-66.0405,0.9725
242,-66.0075,0.9730
243,-65.9735,0.9768
244,-65.9383,0.9608
245,-65.9142,0.9712
246,-65.8912,0.9709
247,-65.8676,0.9799
248,-65.8545,0.9727
249,-65.8332,0.9655
250,-65.8034,0.9587
251,-65.7869,0.9733
252,-65.7939,0.9744
253,-65.8228,0.9765
254,-65.8689,0.9754
255,-65.9186,0.9849
256,-66.0094,0.9800
257,-66.0266,0.9727
258,-66.1220,0.9969
259,-66.4364,0.9870
260,-66.7368,1.0043
261,-66.9975,1.0044
262,-67.6977,1.0039
263,-67.9626,1.0164
264,-68.2251,1.0434
265,-68.6575,1.0083
266,-69.0605,1.0472
267,-69.5337,1.0577
268,-69.9170,1.0512
269,-70.2993,1.0743
270,-70.8438,1.0855
271,-71.5229,1.0949
272,-72.2336,1.1191
273,-72.8355,1.1053
274,-73.1408,1.1631
275,-73.8821,1.1597
276,-74.2628,1.1366
277,-74.6858,1.1689
278,-75.0570,1.1988
279,-75.6527,1.1535
280,-76.1976,1.1625
281,-76.7805,1.2662
282,-80.5431,1.1374
283,-81.6341,1.1695
284,-81.5635,1.1692
285,-81.6799,1.0918
286,-81.6227,1.0254
287,-81.8901,0.9974
288,-82.1152,0.9957
289,-82.0418,0.9993
290,-82.0806,0.9959
291,-82.3920,1.0014
292,-82.6076,1.0053
293,-82.7056,1.0121
294,-82.6934,1.0023
295,-83.1242,1.0044
296,-83.2223,0.9773
297,-83.2807,0.9802
298,-83.7483,0.9834
299,-83.6651,0.9833
300,-83.6871,0.9931
301,-83.6184,0.9977
302,-83.5778,1.0182
303,-83.6357,1.0235
304,-83.5877,1.0188
305,-83.7169,1.0055
306,-83.6404,1.0482
307,-83.5735,1.0089
308,-83.7119,1.0045
309,-83.8647,1.0124
310,-83.8662,0.9834
311,-83.9003,0.9868
312,-83.8260,0.9763
313,-83.8151,0.9839
314,-83.7336,0.9808
315,-83.7728,0.9847
316,-83.7906,0.9854
317,-83.7153,0.9893
318,-83.6417,1.0124
319,-83.5690,0.9725
320,-83.5586,0.9869
321,-83.5042,0.9857
322,-83.4287,0.9984
323,-83.3845,0.9901
324,-83.3630,0.9759
325,-83.3043,0.9720
326,-83.2387,0.9809
327,-83.2788,0.9870
328,-83.2073,0.9845
329,-83.1363,0.9746
330,-83.0651,0.9626
331,-83.0249,0.9721
332,-82.9530,0.9956
333,-82.8811,0.9874
334,-82.8071,0.9886
335,-82.7352,0.9656
336,-82.6690,0.9782
337,-82.6381,0.9731
338,-82.5652,0.9830
339,-82.4924,0.9712
340,-82.4272,0.9743
341,-82.3703,0.9762
342,-82.3122,0.9819
343,-82.2404,0.9735
344,-82.1842,0.9692
345,-82.1151,0.9693
346,-82.0583,0.9678
347,-82.0014,0.9756
348,-81.9626,0.9649
349,-81.9035,0.9753
350,-81.8359,0.9746
351,-81.7737,0.9795
352,-81.7067,0.9673
353,-81.6512,0.9684
354,-81.5831,0.9791
355,-81.5215,0.9632
356,-81.4552,0.9818
357,-81.3944,0.9823
358,-81.3297,0.9555
359,-81.2704,0.9557
360,-81.2047,0.9765
361,-81.1421,0.9635
362,-81.0773,0.9560
363,-81.0129,0.9712
364,-80.9488,0.9718
365,-80.8857,0.9735
366,-80.8220,0.9618
367,-80.7610,0.9565
368,-80.6997,0.9673
369,-80.6370,0.9691
370,-80.5750,0.9702
371,-80.5132,0.9667
372,-80.4516,0.9947
373,-80.3903,0.9585
374,-80.3294,0.9759
375,-80.2687,0.9657
376,-80.2099,0.9701
377,-80.1538,0.9670
378,-80.0953,0.9594
379,-80.0365,0.9812
380,-79.9789,0.9576
381,-79.9202,0.9803
382,-79.8617,0.9611
383,-79.8038,0.9626
384,-79.7460,0.9506
385,-79.6886,0.9680
386,-79.6313,0.9652
387,-79.5742,0.9621
388,-79.5176,0.9627
389,-79.4616,0.9674
390,-79.4062,0.9532
391,-79.3507,0.9600
392,-79.2960,0.9661
393,-79.2410,0.9589
394,-79.1861,0.9618
395,-79.1329,0.9555
396,-79.0793,0.9531
397,-79.0251,0.9510
398,-78.9719,0.9540
399,-78.9182,0.9624
400,-78.8649,0.9530
401,-78.8119,0.9560
402,-78.7591,0.9666
403,-78.7088,0.9446
404,-78.6565,0.9724
405,-78.6056,0.9625
406,-78.5545,0.9479
407,-78.5032,0.9545
408,-78.4522,0.9525
409,-78.4011,0.9608
410,-78.3518,0.9627
411,-78.3013,0.9601
412,-78.2510,0.9450
413,-78.2013,0.9478
414,-78.1515,0.9573
415,-659.2740,0.9415
416,-662.4296,0.9603
417,-663.0942,0.9625
418,-665.7529,0.9759
419,-665.4375,0.9803
420,-664.8091,1.0160
421,-664.1063,1.0209
422,-663.1227,1.0416
423,-662.0089,1.0724
424,-660.7784,1.0723
425,-659.4616,1.0841
426,-658.1031,1.0864
427,-656.7553,1.1137
428,-655.3840,1.1066
429,-654.0066,1.0752
430,-652.6726,1.0721
431,-651.3362,1.0858
432,-650.0061,1.0648
433,-648.6503,1.0806
434,-647.7510,1.0577
435,-646.3989,1.0530
436,-645.1131,1.0165
437,-644.4194,1.0017
438,-643.1024,0.9928
439,-642.0213,0.9850
440,-640.7113,0.9794
441,-640.1344,0.9567
442,-638.9996,0.9715
443,-637.7022,0.9740
444,-636.7324,0.9673
445,-635.5729,0.9668
446,-634.3005,0.9623
447,-633.4898,0.9647
448,-632.3422,0.9674
449,-631.0984,0.9665
450,-629.8272,0.9526
451,-628.6822,0.9745
452,-627.5761,0.9550
453,-626.3392,0.9612
454,-625.0963,0.9591
455,-623.9006,0.9551
456,-622.6712,0.9577
457,-621.5955,0.9531
458,-620.4252,0.9626
459,-619.2497,0.9497
460,-618.9795,0.9641
461,-617.9177,0.9584
462,-616.7198,0.9533
463,-615.6823,0.9687
464,-614.4905,0.9752
465,-613.3015,0.9495
466,-612.2054,0.9713
467,-611.0240,0.9591
468,-609.9111,0.9643
469,-608.7729,0.9652
470,-607.6818,0.9468
471,-608.3141,0.9550
472,-607.1518,0.9557
473,-606.0310,0.9496
474,-605.0414,0.9534
475,-603.8910,0.9548
476,-602.8030,0.9594
477,-601.7000,0.9522
478,-600.6003,0.9563
479,-599.4815,0.9408
480,-598.4392,0.9485
481,-597.3197,0.9469
482,-596.2289,0.9571
483,-595.2292,0.9586
484,-594.1279,0.9500
485,-593.0294,0.9478
486,-592.1884,0.9570
487,-591.1348,0.9451
488,-590.0969,0.9442
489,-589.0893,0.9515
490,-588.0129,0.9485
491,-586.9469,0.9542
492,-585.8978,0.9534
493,-585.0065,0.9610
494,-583.9481,0.9468
495,-582.8907,0.9419
496,-581.8866,0.9568
497,-580.8376,0.9508
498,-579.8482,0.9408
499,-578.8940,0.9573
500,-577.8681,0.9483
501,-576.8534,0.9476
502,-576.1601,0.9544
503,-575.2104,0.9491
504,-574.2468,0.9516
505,-573.3237,0.9383
506,-572.3100,0.9466
507,-571.3063,0.9471
508,-570.3659,0.9549
509,-569.5097,0.9582
510,-568.5246,0.9518
511,-567.5268,0.9515
512,-566.5744,0.9449
513,-565.6259,0.9467
514,-564.6493,0.9445
515,-563.6664,0.9434
516,-562.6872,0.9550
517,-561.7144,0.9517
518,-560.7619,0.9567
519,-559.7962,0.9514
520,-558.9342,0.9543
521,-558.1527,0.9669
522,-557.1958,0.9629
523,-556.2429,0.9550
524,-555.2945,0.9501
525,-554.3500,0.9490
526,-553.4113,0.9540
527,-552.4752,0.9503
528,-551.6573,0.9573
529,-550.7398,0.9604
530,-549.8384,0.9592
531,-548.9144,0.9561
532,-547.9937,0.9525
533,-547.0857,0.9448
534,-546.1744,0.9611
535,-545.2707,0.9514
536,-544.3657,0.9572
537,-543.4613,0.9544
538,-542.5604,0.9439
539,-541.6621,0.9574
540,-540.7827,0.9540
541,-539.9255,0.9562
542,-539.0428,0.9626
543,-538.1601,0.9441
544,-537.2998,0.9528
