iter,loss,rmse
1,5.6911,3.1921
2,11.0862,1.4492
3,18.3317,7.1677
4,21.4594,3.4016
5,19.8195,2.7657
6,18.9831,3.1110
7,17.8433,2.0964
8,16.5036,1.5625
9,15.2913,1.4942
10,14.4380,1.4193
11,13.5992,1.7038
12,12.9428,2.4713
13,12.3894,1.9062
14,11.8300,1.5521
15,11.3049,1.3905
16,10.8450,1.5193
17,10.4436,1.4361
18,10.0789,1.3436
19,9.7306,1.2335
20,9.4259,1.3490
21,9.1443,1.2571
22,8.8834,1.2432
23,8.6432,1.1981
24,8.4162,1.1128
25,8.2010,1.0702
26,8.0014,1.0446
27,7.8167,1.0686
28,7.6407,0.9856
29,7.4782,0.9684
30,7.3260,0.9600
31,7.1822,0.9480
32,7.0455,0.9532
33,6.9158,0.9366
34,6.7941,0.9448
35,6.6777,0.9216
36,6.5683,0.9680
37,6.4645,0.9536
38,6.3654,0.9552
39,6.2705,0.9152
40,6.1798,0.9026
41,6.0932,0.8984
42,6.0109,0.8995
43,5.9320,0.8932
44,5.8570,0.8909
45,5.7850,0.8816
46,5.7158,0.8886
47,5.6492,0.8738
48,5.5851,0.8734
49,5.5242,0.9045
50,5.4651,0.8808
51,5.4080,0.8701
52,5.3534,0.8769
53,5.3008,0.8901
54,5.2499,0.8729
55,5.2006,0.8677
56,5.1530,0.8648
57,5.1068,0.8541
58,5.0623,0.8595
59,5.0193,0.8687
60,4.9776,0.8552
61,4.9374,0.8530
62,4.8981,0.8423
63,4.8599,0.8473
64,4.8229,0.8430
65,4.7873,0.8522
66,4.7524,0.8386
67,4.7188,0.8516
68,4.6859,0.8459
69,4.6539,0.8404
70,4.6227,0.8342
71,4.5923,0.8298
72,4.5627,0.8404
73,4.5340,0.8303
74,4.5060,0.8326
75,4.4789,0.8400
76,4.4524,0.8447
77,4.4264,0.8252
78,4.4010,0.8236
79,4.3763,0.8275
80,4.3521,0.8224
81,4.3286,0.8190
82,4.3058,0.8269
83,4.2833,0.8181
84,4.2613,0.8139
85,4.2397,0.8113
86,4.2187,0.8120
87,4.1981,0.8127
88,4.1779,0.8143
89,4.1583,0.8222
90,4.1391,0.8143
91,4.1203,0.8120
92,4.1018,0.8072
93,4.0837,0.8117
94,4.0660,0.8070
95,4.0486,0.8012
96,4.0316,0.8058
97,4.0149,0.8055
98,3.9984,0.7967
99,3.9823,0.7996
100,3.9665,0.8046
101,3.9509,0.7940
102,3.9357,0.7991
103,3.9208,0.8024
104,3.9060,0.7896
105,3.8917,0.7983
106,3.8774,0.7918
107,3.8636,0.7995
108,3.8499,0.7881
