iter,loss,rmse
1,4.2884,2.2554
2,13.2721,1.4740
3,16.6406,3.1448
4,19.8174,3.2073
5,20.5587,1.4577
6,18.3040,1.4460
7,19.4974,3.0864
8,19.5560,2.6010
9,17.9845,1.7707
10,17.1344,1.2942
11,16.1499,1.2812
12,14.9218,1.5524
13,13.9075,1.5367
14,12.8474,1.5291
15,12.0075,1.2613
16,11.1977,1.2638
17,10.4920,1.5413
18,9.8555,1.4655
19,9.2424,1.5114
20,8.6729,1.4640
21,8.0848,1.4126
22,7.5512,1.4399
23,7.0172,1.4155
24,6.6270,1.4043
25,6.2794,1.3782
26,5.9275,1.3462
27,5.5796,1.2557
28,5.2865,1.2757
29,5.0192,1.2767
30,4.7787,1.2781
31,4.5496,1.2843
32,4.3178,1.2308
33,4.1026,1.2993
34,3.8922,1.2640
35,3.7016,1.1978
36,3.5030,1.1827
37,3.2952,1.1745
38,3.0610,1.1578
39,2.8582,1.1507
40,2.6789,1.1467
41,2.4964,1.1489
42,2.3293,1.1348
43,2.1782,1.1215
44,2.0630,1.1196
45,1.9327,1.0822
46,1.8160,1.1274
47,1.6738,1.0938
48,1.5635,1.0975
49,1.4304,1.0753
50,1.3037,1.0796
51,1.1743,1.0743
52,1.0377,1.0563
53,0.8909,1.0505
54,0.7730,1.0539
55,0.6465,1.0618
56,0.5318,1.0795
57,0.4165,1.1056
58,0.2954,1.0979
59,0.1916,1.0971
60,0.0345,1.1517
61,-0.0689,1.1620
62,-0.1746,1.1957
63,-0.2776,1.1665
64,-0.4171,1.2060
65,-0.5024,1.1772
66,-0.5546,1.1751
67,-0.6151,1.1492
68,-0.6892,1.1580
69,-0.7312,1.1451
70,-0.8620,1.1337
71,-0.9101,1.1469
72,-0.9440,1.1247
73,-0.9822,1.0864
74,-1.0137,1.0954
75,-1.0432,1.1154
76,-1.0751,1.0715
77,-1.1050,1.0638
78,-1.1324,1.0732
79,-1.1599,1.0738
80,-1.1871,1.0297
81,-1.2167,1.0484
82,-1.2403,1.0859
83,-1.2666,1.0288
84,-1.2902,1.0283
85,-1.3136,1.0173
86,-1.3405,0.9965
87,-1.3639,1.0098
88,-1.3867,1.0016
89,-1.4082,0.9931
90,-1.4296,0.9877
91,-1.4513,0.9964
92,-1.4728,0.9830
93,-1.4941,0.9831
94,-1.5137,0.9624
95,-1.5327,0.9841
