iter,loss,rmse
1,7.0204,2.2324
2,16.9032,1.4793
3,26.6099,3.2609
4,23.2412,1.6590
5,22.4120,2.1964
6,20.4015,1.4647
7,18.6575,1.9099
8,17.2945,1.4629
9,16.2306,1.5861
10,15.1259,1.3070
11,14.3160,1.6368
12,13.5156,1.2817
13,12.7967,1.5059
14,12.2435,1.4848
15,11.7154,1.3517
16,11.2468,1.3787
17,10.8086,1.3583
18,10.4137,1.4773
19,10.0568,1.4103
20,9.7384,1.3986
21,9.4389,1.4163
22,9.1648,1.2784
23,8.9150,1.2481
24,8.6795,1.1437
25,8.4585,1.1102
26,8.2587,1.1082
27,8.0663,1.1037
28,7.8940,1.2204
29,7.7265,1.0761
30,7.5803,1.0288
31,7.4442,1.0364
32,7.3048,0.9817
33,7.1817,1.1228
34,7.0671,1.1116
35,6.9514,1.0708
36,6.8390,1.0115
37,6.7342,1.0329
38,6.6322,0.9899
39,6.5332,0.9675
40,6.4406,0.9454
41,6.3513,0.9434
42,6.2647,0.9475
43,6.1823,0.9476
44,6.1037,0.9272
45,6.0279,0.9254
46,5.9546,0.9127
47,5.8841,0.9047
48,5.8168,0.9083
49,5.7518,0.9117
50,5.6892,0.9142
51,5.6288,0.9044
52,5.5704,0.8924
53,5.5142,0.8963
54,5.4600,0.8962
55,5.4078,0.8976
56,5.3573,0.8925
57,5.3081,0.8845
58,5.2609,0.8845
59,5.2152,0.8860
60,5.1708,0.8842
61,5.1276,0.8702
62,5.0858,0.8695
63,5.0454,0.8749
64,5.0060,0.8649
65,4.9679,0.8679
66,4.9309,0.8666
67,4.8948,0.8661
68,4.8599,0.8704
69,4.8260,0.8878
70,4.7929,0.8583
71,4.7607,0.8588
72,4.7295,0.8630
73,4.6988,0.8561
74,4.6690,0.8544
75,4.6399,0.8554
76,4.6116,0.8484
77,4.5838,0.8465
78,4.5570,0.8610
79,4.5307,0.8601
80,4.5051,0.8448
81,4.4799,0.8424
82,4.4554,0.8466
83,4.4315,0.8441
84,4.4082,0.8436
85,4.3854,0.8446
86,4.3629,0.8351
87,4.3409,0.8314
88,4.3195,0.8430
89,4.2988,0.8506
90,4.2784,0.8396
91,4.2583,0.8328
92,4.2385,0.8262
93,4.2195,0.8387
94,4.2006,0.8290
95,4.1821,0.8327
96,4.1640,0.8286
97,4.1463,0.8247
98,4.1289,0.8281
99,4.1118,0.8296
100,4.0951,0.8301
101,4.0788,0.8334
102,4.0626,0.8204
103,4.0467,0.8198
104,4.0312,0.8231
105,4.0160,0.8215
106,4.0010,0.8266
107,3.9864,0.8263
108,3.9720,0.8237
109,3.9578,0.8162
110,3.9439,0.8183
111,3.9302,0.8166
112,3.9168,0.8111
113,3.9035,0.8163
114,3.8906,0.8214
115,3.8777,0.8077
116,3.8650,0.8182
117,3.8529,0.8354
118,3.8406,0.8034
119,3.8286,0.8055
120,3.8168,0.8062
121,3.8052,0.8173
122,3.7938,0.8135
123,3.7825,0.8062
124,3.7715,0.8130
125,3.7605,0.8078
126,3.7498,0.8246
127,3.7392,0.8010
128,3.7287,0.8069
129,3.7184,0.8046
130,3.7083,0.8085
131,3.6984,0.8072
132,3.6886,0.8138
133,3.6790,0.8035
134,3.6694,0.8088
135,3.6599,0.8030
136,3.6508,0.8111
137,3.6416,0.8050
138,3.6326,0.8019
139,3.6236,0.7981
140,3.6146,0.7868
141,3.6059,0.8084
142,3.5972,0.7882
143,3.5887,0.7956
144,3.5804,0.7942
145,3.5721,0.7896
146,3.5639,0.8019
147,3.5557,0.7786
148,3.5478,0.8012
149,3.5398,0.7855
150,3.5322,0.7895
151,3.5245,0.7883
152,3.5168,0.7868
153,3.5093,0.7992
154,3.5020,0.7931
155,3.4946,0.7775
156,3.4873,0.7824
157,3.4801,0.7775
158,3.4730,0.7860
159,3.4659,0.7766
160,3.4590,0.7814
161,3.4521,0.7750
162,3.4453,0.7786
163,3.4386,0.7815
164,3.4320,0.7796
165,3.4254,0.7785
166,3.4189,0.7772
167,3.4125,0.7686
168,3.4060,0.7618
169,3.3999,0.7715
170,3.3936,0.7673
171,3.3874,0.7708
172,3.3814,0.7656
173,3.3753,0.7711
174,3.3693,0.7680
175,3.3634,0.7674
176,3.3576,0.7657
177,3.3518,0.7686
178,3.3462,0.7647
179,3.3405,0.7633
180,3.3349,0.7640
181,3.3293,0.7639
182,3.3239,0.7613
183,3.3186,0.7679
184,3.3133,0.7650
185,3.3082,0.7749
186,3.3030,0.7680
187,3.2977,0.7543
188,3.2925,0.7581
189,3.2873,0.7541
190,3.2823,0.7640
191,3.2772,0.7496
192,3.2722,0.7550
193,3.2673,0.7508
194,3.2623,0.7507
195,3.2574,0.7600
196,3.2526,0.7605
197,3.2478,0.7578
198,3.2431,0.7507
199,3.2383,0.7523
200,3.2337,0.7486
201,3.2291,0.7538
202,3.2244,0.7458
203,3.2200,0.7626
204,3.2154,0.7505
205,3.2109,0.7416
206,3.2064,0.7434
207,3.2021,0.7536
208,3.1977,0.7400
209,3.1934,0.7432
210,3.1891,0.7521
211,3.1849,0.7583
212,3.1808,0.7612
213,3.1766,0.7398
214,3.1725,0.7382
215,3.1685,0.7569
216,3.1645,0.7415
217,3.1604,0.7334
218,3.1564,0.7438
219,3.1524,0.7429
220,3.1484,0.7362
221,3.1444,0.7282
222,3.1405,0.7313
223,3.1366,0.7278
224,3.1329,0.7475
225,3.1291,0.7355
226,3.1252,0.7296
227,3.1215,0.7433
228,3.1178,0.7393
229,3.1140,0.7300
230,3.1103,0.7195
231,3.1066,0.7262
232,3.1030,0.7364
233,3.0995,0.7396
234,3.0960,0.7375
235,3.0925,0.7432
236,3.0889,0.7159
237,3.0854,0.7197
238,3.0819,0.7199
239,3.0784,0.7309
240,3.0750,0.7272
241,3.0716,0.7178
242,3.0683,0.7241
243,3.0649,0.7198
244,3.0616,0.7266
245,3.0583,0.7137
246,3.0550,0.7216
247,3.0517,0.7141
248,3.0485,0.7202
249,3.0453,0.7113
250,3.0421,0.7227
251,3.0390,0.7193
252,3.0358,0.7193
253,3.0327,0.7115
254,3.0295,0.7145
255,3.0264,0.7103
256,3.0233,0.7103
257,3.0203,0.7117
258,3.0172,0.7110
259,3.0142,0.7158
260,3.0112,0.7085
261,3.0083,0.7238
262,3.0053,0.7031
263,3.0023,0.7120
264,2.9994,0.7161
265,2.9965,0.7180
266,2.9936,0.7071
267,2.9908,0.7073
268,2.9879,0.7055
269,2.9850,0.7000
270,2.9822,0.7026
271,2.9793,0.7020
272,2.9765,0.7059
273,2.9737,0.6991
274,2.9710,0.7005
275,2.9682,0.7157
276,2.9655,0.7040
277,2.9628,0.7058
278,2.9601,0.7012
279,2.9574,0.7107
280,2.9547,0.6996
281,2.9522,0.7085
282,2.9495,0.7031
283,2.9469,0.6947
284,2.9444,0.7046
285,2.9418,0.7017
286,2.9393,0.7068
287,2.9367,0.6920
288,2.9342,0.7081
289,2.9317,0.7017
290,2.9292,0.7022
291,2.9267,0.7021
292,2.9242,0.6955
293,2.9218,0.7024
294,2.9194,0.6940
295,2.9169,0.6972
296,2.9145,0.6990
297,2.9121,0.6954
