iter,loss,rmse
1,7.5118,3.5883
2,10.9631,2.9136
3,21.2968,1.6463
4,21.7531,4.4961
5,23.0448,2.5676
6,21.7812,2.5015
7,22.0094,1.3769
8,21.4019,1.2697
9,20.0041,1.4307
10,18.7518,1.3684
11,17.7821,1.2974
12,16.7850,1.2489
13,16.0945,1.2954
14,15.4415,1.2926
15,14.8020,2.1900
16,14.1702,1.2150
17,13.6021,1.2413
18,13.1085,1.2415
19,12.6265,1.1986
20,12.1978,1.2697
21,11.7891,1.1983
22,11.4231,1.2852
23,11.0746,1.1610
24,10.7616,1.1583
25,10.4739,1.1727
26,10.1941,1.1334
27,9.9393,1.1355
28,9.7013,1.1535
29,9.4751,1.1354
30,9.2616,1.0687
31,9.0621,1.0659
32,8.8740,1.0633
33,8.6970,1.0647
34,8.5286,1.0536
35,8.3695,1.0497
36,8.2190,1.0440
37,8.0762,1.0328
38,7.9406,1.0454
39,7.8115,1.0326
40,7.6888,1.0084
41,7.5714,0.9788
42,7.4594,0.9974
43,7.3523,0.9978
44,7.2496,0.9939
45,7.1517,0.9939
46,7.0570,0.9667
47,6.9663,0.9693
48,6.8787,0.9515
49,6.7946,0.9552
50,6.7135,0.9332
51,6.6355,0.9391
52,6.5598,0.9074
53,6.4867,0.9246
54,6.4160,0.9105
55,6.3474,0.9114
56,6.2813,0.9161
57,6.2172,0.9012
58,6.1555,0.9037
59,6.0956,0.9032
60,6.0376,0.8993
61,5.9811,0.8900
62,5.9265,0.8890
63,5.8739,0.8974
64,5.8223,0.8768
65,5.7724,0.8888
66,5.7238,0.8743
67,5.6767,0.8810
68,5.6310,0.8813
69,5.5864,0.8687
70,5.5430,0.8714
71,5.5011,0.8911
72,5.4602,0.8900
73,5.4203,0.8768
74,5.3813,0.8673
75,5.3434,0.8751
76,5.3063,0.8699
77,5.2703,0.8833
78,5.2351,0.8537
79,5.2006,0.8586
80,5.1672,0.8697
81,5.1343,0.8508
82,5.1023,0.8561
83,5.0710,0.8540
84,5.0404,0.8554
85,5.0105,0.8477
86,4.9814,0.8551
87,4.9529,0.8517
88,4.9248,0.8512
89,4.8975,0.8472
90,4.8707,0.8530
91,4.8447,0.8715
92,4.8190,0.8415
93,4.7940,0.8532
94,4.7693,0.8436
95,4.7451,0.8387
96,4.7214,0.8398
97,4.6982,0.8372
98,4.6753,0.8312
99,4.6531,0.8396
100,4.6310,0.8222
101,4.6096,0.8325
102,4.5885,0.8295
103,4.5679,0.8351
104,4.5475,0.8286
105,4.5277,0.8360
106,4.5080,0.8318
107,4.4886,0.8216
108,4.4698,0.8306
109,4.4513,0.8312
110,4.4329,0.8185
111,4.4149,0.8195
112,4.3972,0.8175
113,4.3798,0.8184
114,4.3630,0.8226
115,4.3463,0.8276
116,4.3298,0.8143
117,4.3135,0.8133
118,4.2976,0.8201
119,4.2819,0.8196
120,4.2664,0.8148
121,4.2511,0.8140
122,4.2361,0.8094
123,4.2213,0.8147
124,4.2069,0.8119
125,4.1924,0.8029
126,4.1783,0.8089
127,4.1643,0.8031
128,4.1504,0.8008
129,4.1370,0.8121
130,4.1237,0.8032
131,4.1105,0.7998
132,4.0975,0.8012
133,4.0848,0.8010
134,4.0721,0.8038
135,4.0597,0.7957
136,4.0474,0.7972
137,4.0353,0.8128
138,4.0233,0.7919
139,4.0116,0.8058
140,4.0002,0.8031
141,3.9886,0.7868
142,3.9774,0.7948
143,3.9663,0.7898
144,3.9554,0.8019
145,3.9444,0.7894
146,3.9338,0.8030
147,3.9233,0.7999
148,3.9129,0.7921
149,3.9027,0.7944
150,3.8925,0.7806
151,3.8825,0.7945
152,3.8726,0.7938
153,3.8628,0.7877
154,3.8531,0.7845
155,3.8436,0.7934
156,3.8341,0.7888
157,3.8248,0.7817
158,3.8156,0.7819
159,3.8065,0.7860
160,3.7975,0.7801
161,3.7886,0.7800
162,3.7798,0.7930
163,3.7713,0.7830
164,3.7626,0.7745
165,3.7541,0.7778
166,3.7458,0.7798
167,3.7375,0.7788
168,3.7293,0.7874
169,3.7213,0.7890
170,3.7133,0.7824
171,3.7054,0.7733
172,3.6976,0.7760
173,3.6898,0.7747
174,3.6823,0.7798
175,3.6747,0.7713
176,3.6673,0.7712
177,3.6600,0.7797
178,3.6526,0.7721
179,3.6453,0.7662
