iter,loss,rmse
1,4.8167,3.5971
2,6.5574,1.9231
3,10.4054,2.2985
4,14.6732,4.2000
5,13.1482,1.7603
6,13.1162,1.3157
7,12.1910,1.6249
8,10.9962,1.3447
9,10.9075,2.3964
10,10.2957,1.4709
11,9.5064,1.3173
12,8.7937,1.3124
13,8.1419,1.2001
14,7.4810,1.2179
15,6.9453,1.2459
16,6.4283,1.2182
17,5.9544,1.5244
18,5.4942,1.2062
19,5.0993,1.2017
20,4.7409,1.2384
21,4.4096,1.2748
22,4.1014,1.2218
23,3.8105,1.2482
24,3.5342,1.1320
25,3.2679,1.1269
26,3.0163,1.1282
27,2.7952,1.1516
28,2.5609,1.1754
29,2.3385,1.1585
30,2.1305,1.2007
31,1.9500,1.2169
32,1.7752,1.2557
33,1.6267,1.2113
34,1.4722,1.1430
35,1.3173,1.1368
36,1.1471,1.1411
37,1.0237,1.1438
38,0.8608,1.1507
39,0.7648,1.1291
40,0.6342,1.1158
41,0.5292,1.1489
42,0.3613,1.2010
43,0.2793,1.1881
44,0.2043,1.1570
45,0.1316,1.1052
46,0.0633,1.0767
47,-0.0038,1.0770
48,-0.0677,1.0912
49,-0.1335,1.0897
50,-0.1915,1.1006
51,-0.2493,1.0631
52,-0.3074,1.0411
53,-0.3607,1.0468
54,-0.4125,1.0483
55,-0.4633,1.0253
56,-0.5134,0.9944
57,-0.5615,0.9953
58,-0.6084,0.9852
59,-0.6537,1.0065
60,-0.6974,0.9897
61,-0.7397,0.9715
62,-0.7801,0.9649
63,-0.8193,0.9722
64,-0.8564,0.9629
65,-0.8929,0.9545
66,-0.9306,0.9468
67,-0.9669,0.9428
68,-1.0018,0.9544
69,-1.0360,0.9303
70,-1.0677,0.9341
71,-1.0974,0.9338
72,-1.1288,0.9325
73,-1.1613,0.9295
74,-1.1909,0.9230
75,-1.2212,0.9452
76,-1.2492,0.9313
77,-1.2767,0.9105
78,-1.3007,0.9145
79,-1.3248,0.9184
80,-1.3494,0.9101
81,-1.3730,0.9172
82,-1.3967,0.9294
83,-1.4198,0.9154
84,-1.4417,0.9155
85,-1.4692,0.9155
86,-1.4911,0.9165
87,-1.5222,0.9165
88,-1.5582,0.9164
89,-1.5916,0.9168
90,-1.6146,0.9160
91,-1.6395,0.9348
92,-1.6604,0.9302
93,-1.6853,0.9378
94,-1.7196,0.9417
95,-1.7451,0.9528
