iter,loss,rmse
1,7.5118,3.5883
2,10.9632,2.9136
3,21.2971,1.6472
4,21.7513,4.4965
5,23.0494,2.5704
6,21.7862,2.4954
7,22.0120,1.3774
8,21.4033,1.2709
9,20.0057,1.4337
10,18.7538,1.3666
11,17.7841,1.2981
12,16.7869,1.2489
13,16.0960,1.2955
14,15.4425,1.2922
15,14.8032,2.1964
16,14.1708,1.2140
17,13.6025,1.2409
18,13.1081,1.2414
19,12.6259,1.1978
20,12.1960,1.2649
21,11.7872,1.2054
22,11.4214,1.2806
23,11.0722,1.1557
24,10.7607,1.1668
25,10.4741,1.1685
26,10.1953,1.1353
27,9.9407,1.1353
28,9.7037,1.1494
29,9.4790,1.1413
30,9.2650,1.0724
31,9.0666,1.0728
32,8.8790,1.0653
33,8.7016,1.0642
34,8.5340,1.0645
35,8.3755,1.0554
36,8.2249,1.0511
37,8.0826,1.0492
38,7.9468,1.0361
39,7.8182,1.0506
40,7.6960,1.0267
41,7.5786,0.9751
42,7.4677,1.0408
43,7.3609,1.0123
44,7.2582,0.9911
45,7.1603,0.9961
46,7.0659,0.9917
47,6.9752,0.9891
48,6.8879,0.9736
49,6.8039,0.9740
50,6.7227,0.9404
51,6.6448,0.9471
52,6.5692,0.9156
53,6.4960,0.9266
54,6.4253,0.9181
55,6.3567,0.9170
56,6.2907,0.9170
57,6.2267,0.9048
58,6.1651,0.9111
59,6.1053,0.9126
60,6.0473,0.9003
61,5.9908,0.8962
62,5.9361,0.8891
63,5.8836,0.9123
64,5.8319,0.8811
65,5.7818,0.8793
66,5.7332,0.8809
67,5.6860,0.8830
68,5.6400,0.8773
69,5.5952,0.8700
70,5.5517,0.8721
71,5.5093,0.8691
72,5.4683,0.8931
73,5.4284,0.8879
74,5.3892,0.8656
75,5.3509,0.8654
76,5.3137,0.8628
77,5.2775,0.8697
78,5.2422,0.8557
79,5.2075,0.8527
80,5.1739,0.8643
81,5.1409,0.8525
82,5.1087,0.8517
83,5.0772,0.8495
84,5.0465,0.8478
85,5.0165,0.8552
86,4.9874,0.8740
87,4.9587,0.8487
88,4.9306,0.8462
89,4.9032,0.8513
90,4.8763,0.8509
91,4.8502,0.8628
92,4.8245,0.8428
93,4.7992,0.8412
94,4.7745,0.8427
95,4.7502,0.8376
96,4.7264,0.8336
97,4.7031,0.8396
98,4.6802,0.8343
99,4.6578,0.8355
100,4.6358,0.8288
101,4.6144,0.8376
102,4.5932,0.8273
103,4.5725,0.8311
104,4.5521,0.8253
