iter,loss,rmse
1,7.0204,2.2324
2,16.9032,1.4793
3,26.6094,3.2609
4,23.2412,1.6594
5,22.4116,2.1969
6,20.4010,1.4653
7,18.6571,1.9082
8,17.2944,1.4628
9,16.2302,1.5862
10,15.1258,1.3070
11,14.3159,1.6371
12,13.5155,1.2821
13,12.7965,1.5058
14,12.2433,1.4842
15,11.7153,1.3506
16,11.2460,1.3778
17,10.8084,1.3528
18,10.4138,1.4752
19,10.0559,1.4142
20,9.7397,1.3924
21,9.4403,1.4171
22,9.1829,1.3259
23,8.9331,1.2588
24,8.7256,1.2873
25,8.5352,1.2651
26,8.3312,1.1371
27,8.1600,1.1809
28,8.0045,1.1462
29,7.8458,1.1130
30,7.6920,1.1474
31,7.5502,1.2248
32,7.4185,1.2303
33,7.2887,1.1662
34,7.1619,1.0442
35,7.0402,0.9997
36,6.9249,1.0201
37,6.8153,1.0087
38,6.7100,1.0038
39,6.6098,1.0078
40,6.5141,0.9752
41,6.4220,0.9611
42,6.3345,0.9616
43,6.2505,0.9498
44,6.1693,0.9327
45,6.0919,0.9362
46,6.0184,0.9406
47,5.9467,0.9325
48,5.8780,0.9202
49,5.8120,0.9205
50,5.7485,0.9258
51,5.6873,0.9080
52,5.6282,0.9055
53,5.5712,0.9052
54,5.5162,0.9101
55,5.4629,0.8944
56,5.4117,0.9030
57,5.3619,0.8887
58,5.3138,0.8885
59,5.2674,0.8800
60,5.2224,0.8883
61,5.1786,0.8758
62,5.1361,0.8789
63,5.0950,0.8820
64,5.0551,0.8821
65,5.0164,0.8766
66,4.9788,0.8780
67,4.9421,0.8772
68,4.9067,0.8725
69,4.8720,0.8680
70,4.8383,0.8647
71,4.8058,0.8680
72,4.7741,0.8691
73,4.7429,0.8598
74,4.7126,0.8593
75,4.6830,0.8652
76,4.6543,0.8558
77,4.6261,0.8518
78,4.5990,0.8827
79,4.5724,0.8752
80,4.5464,0.8527
81,4.5210,0.8535
82,4.4960,0.8498
83,4.4717,0.8489
84,4.4481,0.8533
85,4.4249,0.8494
86,4.4021,0.8410
87,4.3798,0.8382
88,4.3581,0.8451
89,4.3369,0.8484
90,4.3162,0.8489
91,4.2958,0.8409
92,4.2758,0.8301
93,4.2564,0.8484
94,4.2373,0.8375
95,4.2186,0.8431
96,4.2004,0.8377
97,4.1825,0.8326
98,4.1648,0.8332
99,4.1475,0.8441
100,4.1305,0.8304
101,4.1139,0.8365
102,4.0976,0.8320
103,4.0814,0.8255
104,4.0658,0.8358
105,4.0504,0.8328
106,4.0351,0.8284
107,4.0203,0.8323
108,4.0056,0.8278
109,3.9912,0.8234
110,3.9771,0.8254
111,3.9632,0.8242
112,3.9495,0.8152
113,3.9359,0.8201
114,3.9227,0.8201
115,3.9096,0.8125
116,3.8968,0.8218
117,3.8843,0.8324
118,3.8718,0.8120
119,3.8596,0.8152
120,3.8475,0.8088
121,3.8356,0.8137
122,3.8239,0.8155
123,3.8125,0.8164
124,3.8012,0.8115
125,3.7900,0.8118
126,3.7790,0.8120
127,3.7683,0.8261
128,3.7577,0.8073
129,3.7471,0.8031
130,3.7367,0.7986
131,3.7266,0.8183
132,3.7166,0.8075
133,3.7069,0.8077
134,3.6971,0.8093
135,3.6876,0.8092
136,3.6783,0.8075
137,3.6690,0.8115
138,3.6597,0.8010
139,3.6505,0.8002
140,3.6414,0.7900
141,3.6325,0.8025
142,3.6237,0.7964
143,3.6150,0.7911
144,3.6065,0.7993
145,3.5980,0.7924
146,3.5897,0.7988
147,3.5814,0.7823
148,3.5733,0.8002
149,3.5652,0.7840
150,3.5574,0.7905
151,3.5496,0.7895
152,3.5419,0.7921
153,3.5342,0.7892
154,3.5267,0.7865
155,3.5192,0.7860
156,3.5118,0.7834
157,3.5045,0.7809
158,3.4973,0.7918
159,3.4902,0.7786
160,3.4832,0.7897
161,3.4762,0.7765
162,3.4693,0.7797
163,3.4625,0.7837
164,3.4558,0.7896
165,3.4491,0.7806
166,3.4426,0.7812
167,3.4360,0.7755
168,3.4296,0.7712
169,3.4234,0.7822
170,3.4171,0.7771
171,3.4109,0.7845
172,3.4047,0.7682
173,3.3986,0.7814
174,3.3926,0.7767
175,3.3866,0.7735
176,3.3807,0.7729
177,3.3749,0.7816
178,3.3690,0.7671
179,3.3633,0.7758
180,3.3576,0.7734
181,3.3519,0.7672
182,3.3464,0.7665
183,3.3409,0.7650
184,3.3354,0.7680
185,3.3302,0.7837
186,3.3251,0.7859
187,3.3199,0.7743
188,3.3147,0.7732
189,3.3097,0.7733
190,3.3049,0.7889
191,3.2999,0.7613
192,3.2949,0.7678
193,3.2901,0.7727
194,3.2852,0.7633
195,3.2804,0.7818
196,3.2756,0.7685
197,3.2709,0.7722
198,3.2663,0.7659
199,3.2615,0.7614
200,3.2570,0.7618
201,3.2524,0.7643
202,3.2478,0.7571
203,3.2432,0.7609
204,3.2388,0.7591
205,3.2342,0.7561
206,3.2299,0.7570
207,3.2255,0.7582
208,3.2212,0.7589
209,3.2169,0.7588
210,3.2126,0.7636
211,3.2085,0.7615
212,3.2043,0.7672
213,3.2002,0.7554
214,3.1961,0.7617
215,3.1920,0.7507
216,3.1881,0.7502
217,3.1840,0.7566
218,3.1800,0.7514
219,3.1759,0.7403
220,3.1720,0.7516
221,3.1680,0.7459
222,3.1641,0.7406
223,3.1602,0.7440
224,3.1564,0.7601
225,3.1526,0.7466
226,3.1488,0.7449
227,3.1450,0.7439
228,3.1414,0.7475
229,3.1377,0.7419
230,3.1340,0.7344
231,3.1303,0.7434
232,3.1268,0.7646
233,3.1232,0.7517
234,3.1197,0.7560
235,3.1161,0.7447
236,3.1126,0.7352
237,3.1092,0.7412
238,3.1056,0.7326
239,3.1022,0.7477
240,3.0988,0.7437
241,3.0953,0.7273
242,3.0920,0.7348
243,3.0886,0.7325
244,3.0852,0.7303
245,3.0820,0.7306
246,3.0786,0.7325
247,3.0754,0.7236
248,3.0722,0.7346
249,3.0690,0.7262
250,3.0657,0.7311
251,3.0626,0.7304
252,3.0594,0.7307
253,3.0563,0.7177
254,3.0532,0.7345
255,3.0501,0.7243
256,3.0470,0.7179
257,3.0439,0.7230
258,3.0408,0.7192
259,3.0377,0.7219
260,3.0346,0.7222
261,3.0317,0.7289
262,3.0287,0.7173
263,3.0257,0.7219
264,3.0228,0.7215
265,3.0198,0.7177
266,3.0169,0.7143
267,3.0139,0.7160
268,3.0110,0.7139
269,3.0081,0.7123
270,3.0052,0.7106
271,3.0023,0.7081
272,2.9995,0.7123
273,2.9967,0.7150
274,2.9939,0.7075
275,2.9911,0.7177
276,2.9883,0.7102
277,2.9855,0.7078
278,2.9828,0.7078
279,2.9801,0.7196
280,2.9774,0.7111
281,2.9748,0.7093
282,2.9721,0.7095
283,2.9694,0.6999
284,2.9668,0.7078
285,2.9642,0.7021
286,2.9616,0.7094
287,2.9590,0.6995
288,2.9564,0.7116
289,2.9539,0.7093
290,2.9513,0.7063
291,2.9488,0.7075
292,2.9463,0.6997
293,2.9438,0.7111
294,2.9413,0.6977
295,2.9388,0.7051
296,2.9364,0.7033
297,2.9339,0.6986
