iter,loss,rmse
1,2.7063,3.1103
2,6.0642,1.4684
3,8.4277,6.7997
4,11.8743,3.2749
5,12.1378,6.8232
6,11.6232,2.1038
7,10.5826,2.4112
8,9.9815,4.9381
9,9.2959,2.4434
10,8.3033,1.5749
11,7.5391,1.7565
12,6.7929,1.3737
13,6.1784,1.4240
14,5.6787,3.3098
15,5.1650,1.4176
16,4.7176,1.3501
17,4.3155,1.3348
18,3.9385,1.2608
19,3.5958,1.3023
20,3.2915,1.3179
21,3.0085,1.3487
22,2.7551,1.2999
23,2.5139,1.1890
24,2.2848,1.1334
25,2.0205,1.1603
26,1.8416,1.1870
27,1.6640,1.2082
28,1.4921,1.2247
29,1.2959,1.2249
30,1.1405,1.2263
31,0.9510,1.1899
32,0.8222,1.1587
33,0.6682,1.1669
34,0.5620,1.1718
35,0.4613,1.1258
36,0.3583,1.0684
37,0.2686,1.0796
38,0.1810,1.0628
39,0.0776,1.0698
40,-0.0094,1.0875
41,-0.0871,1.1091
42,-0.1709,1.1280
43,-0.2512,1.1307
44,-0.3411,1.1293
45,-0.4430,1.1337
46,-0.5547,1.1106
47,-0.6594,1.1028
48,-0.7592,1.1062
49,-0.8808,1.1424
50,-0.9397,1.1075
51,-1.0056,1.1002
52,-1.0595,1.0869
53,-1.1359,1.0973
54,-1.1783,1.0841
55,-1.2638,1.0674
56,-1.3781,1.0891
57,-1.4316,1.1492
58,-1.4937,1.0985
59,-1.5437,1.0633
60,-1.5912,1.0477
61,-1.6769,1.0407
62,-1.7605,1.0456
63,-1.8409,1.0560
64,-1.9775,1.0558
65,-2.0889,1.0420
66,-2.1940,1.0347
67,-2.2894,1.0508
68,-2.3926,1.0329
69,-2.4550,1.0257
70,-2.5482,1.0514
71,-2.6255,1.0421
72,-2.6391,1.0453
73,-2.6479,1.0396
74,-2.6683,1.0193
75,-2.6766,1.0082
76,-2.6845,0.9989
77,-2.7141,1.0100
78,-2.7250,1.0265
79,-2.7921,1.0161
80,-2.7991,1.0299
81,-2.8066,1.0120
82,-2.8133,1.0137
83,-2.8188,1.0151
84,-2.8264,1.0286
85,-2.8305,1.0800
86,-2.8381,0.9866
87,-2.8429,0.9916
88,-2.8598,0.9969
89,-2.8650,1.0062
90,-2.8707,0.9770
91,-2.8769,1.0201
92,-2.8823,1.0138
93,-2.8882,0.9938
94,-2.8940,1.0449
95,-2.9012,0.9870
96,-2.9092,0.9901
97,-2.9137,0.9995
98,-2.9182,0.9732
99,-2.9229,0.9479
100,-2.9277,0.9536
