iter,loss,rmse
1,5.4122,3.1103
2,10.2925,1.4679
3,16.6301,6.9783
4,18.2062,3.1332
5,18.3645,3.2445
6,18.0557,1.4235
7,17.2546,5.7986
8,15.9674,1.8972
9,14.9792,1.9043
10,13.9988,1.4042
11,13.4585,5.2425
12,12.8730,1.8641
13,12.2715,1.7246
14,11.6556,1.4214
15,11.1288,1.3991
16,10.6600,1.5580
17,10.2235,1.3600
18,9.8162,1.2660
19,9.4439,1.2885
20,9.1200,1.3203
21,8.8186,1.2798
22,8.5417,1.2997
23,8.2835,1.2177
24,8.0504,1.2602
25,7.8299,1.1770
26,7.6254,1.1544
27,7.4294,1.1460
28,7.2463,1.1317
29,7.0719,1.1461
30,6.9129,1.1496
31,6.7642,1.1157
32,6.6260,1.0644
33,6.4932,1.0569
34,6.3538,1.0488
35,6.2362,1.0595
36,6.1252,1.0311
37,6.0190,1.0116
38,5.9171,1.0147
39,5.8188,0.9984
40,5.7262,0.9996
41,5.6354,0.9951
42,5.5406,0.9800
43,5.4615,0.9758
44,5.3830,0.9747
45,5.3093,0.9766
46,5.2382,0.9743
47,5.1623,0.9550
48,5.0976,0.9561
49,5.0301,0.9671
50,4.9637,0.9481
51,4.9078,0.9675
52,4.8532,0.9580
53,4.7998,0.9312
54,4.7490,0.9457
55,4.6998,0.9387
56,4.6523,0.9319
57,4.6064,0.9506
58,4.5617,0.9240
59,4.5184,0.9304
60,4.4767,0.9230
61,4.4360,0.9051
62,4.3970,0.9247
63,4.3578,0.9125
64,4.3210,0.9256
65,4.2835,0.9243
66,4.2479,0.8954
67,4.2141,0.9217
68,4.1813,0.9080
69,4.1488,0.9092
70,4.1177,0.8970
71,4.0870,0.8979
72,4.0577,0.8977
73,4.0283,0.9004
74,3.9999,0.8819
75,3.9721,0.8961
76,3.9450,0.8889
77,3.9190,0.8871
78,3.8940,0.8962
79,3.8692,0.8759
80,3.8453,0.8968
81,3.8215,0.8925
82,3.7986,0.8796
83,3.7756,0.8836
84,3.7537,0.8870
85,3.7322,0.8721
86,3.7108,0.8775
87,3.6902,0.8703
88,3.6701,0.8709
89,3.6502,0.8698
90,3.6310,0.8767
91,3.6120,0.8633
92,3.5937,0.8758
93,3.5756,0.8634
94,3.5577,0.8583
95,3.5404,0.8660
96,3.5233,0.8594
97,3.5064,0.8504
98,3.4901,0.8569
99,3.4739,0.8472
100,3.4582,0.8491
101,3.4426,0.8541
102,3.4274,0.8445
103,3.4126,0.8559
104,3.3978,0.8453
105,3.3836,0.8558
106,3.3696,0.8477
107,3.3556,0.8401
108,3.3420,0.8483
109,3.3287,0.8459
110,3.3155,0.8392
111,3.3024,0.8423
112,3.2897,0.8391
113,3.2773,0.8407
114,3.2649,0.8339
115,3.2527,0.8321
116,3.2408,0.8387
117,3.2291,0.8361
118,3.2176,0.8289
119,3.2062,0.8348
120,3.1951,0.8359
121,3.1836,0.8297
122,3.1727,0.8277
123,3.1620,0.8330
124,3.1514,0.8248
125,3.1410,0.8219
126,3.1307,0.8244
127,3.1207,0.8214
128,3.1108,0.8252
129,3.1010,0.8210
130,3.0914,0.8213
131,3.0819,0.8183
132,3.0724,0.8108
133,3.0632,0.8247
134,3.0540,0.8260
135,3.0450,0.8162
136,3.0360,0.8212
137,3.0273,0.8086
138,3.0186,0.8184
139,3.0098,0.8163
140,3.0011,0.8124
141,2.9922,0.8049
142,2.9837,0.8086
143,2.9755,0.8231
144,2.9671,0.8160
145,2.9579,0.8198
146,2.9496,0.8149
147,2.9414,0.8231
148,2.9329,0.8264
149,2.9248,0.8228
150,2.9157,0.8289
151,2.9070,0.8301
152,2.8983,0.8298
153,2.8900,0.8381
154,2.8811,0.8305
155,2.8730,0.8334
156,2.8639,0.8368
157,2.8555,0.8372
158,2.8462,0.8392
159,2.8366,0.8486
160,2.8302,0.8496
161,2.8213,0.8438
162,2.8114,0.8551
163,2.8043,0.8471
164,2.7968,0.9415
165,2.7890,0.8495
166,2.7807,0.9423
167,2.7730,0.8827
168,2.7643,0.9253
169,2.7562,0.9847
170,2.7473,0.8992
171,2.7419,1.0113
172,2.7352,1.0136
173,2.7270,0.8803
174,2.7192,0.8836
175,2.7110,0.8900
176,2.7034,0.8970
177,2.6968,0.8902
178,2.6889,0.8702
179,2.6791,0.8806
180,2.6715,0.9232
181,2.6634,0.8773
182,2.6572,0.8670
183,2.6488,0.8717
184,2.6407,0.8781
185,2.6315,0.8598
186,2.6240,0.8575
187,2.6168,0.8582
188,2.6084,0.8600
189,2.5998,0.8664
190,2.5886,0.8579
191,2.5844,0.8570
192,2.5808,0.8575
193,2.5772,0.8582
