iter,loss,rmse
1,5.6911,3.1921
2,11.0862,1.4492
3,18.3318,7.1677
4,21.4580,3.4016
5,19.8201,2.7688
6,18.9803,3.1132
7,17.8368,2.0984
8,16.4993,1.5643
9,15.2871,1.4869
10,14.4313,1.4110
11,13.5944,1.7740
12,12.8981,2.0057
13,12.3061,1.7234
14,11.7309,1.4631
15,11.2144,1.4324
16,10.7628,1.2930
17,10.3548,1.3750
18,9.9775,1.3080
19,9.6333,1.2181
20,9.3221,1.2398
21,9.0381,1.1932
22,8.7711,1.1104
23,8.5265,1.0886
24,8.2986,1.0585
25,8.0867,1.0564
26,7.8877,0.9993
27,7.7031,0.9704
28,7.5299,0.9553
29,7.3681,0.9608
30,7.2164,0.9617
31,7.0732,0.9397
32,6.9378,0.9243
33,6.8106,0.9352
34,6.6911,0.9496
35,6.5764,0.9074
36,6.4689,0.9405
37,6.3668,0.9096
38,6.2696,0.9109
39,6.1766,0.9058
40,6.0885,0.9047
41,6.0043,0.9026
42,5.9239,0.9064
43,5.8466,0.8800
44,5.7729,0.8789
45,5.7023,0.8807
46,5.6345,0.8748
47,5.5695,0.8838
48,5.5068,0.8685
49,5.4467,0.8774
50,5.3888,0.8695
51,5.3331,0.8625
52,5.2796,0.8623
53,5.2282,0.8722
54,5.1784,0.8597
55,5.1301,0.8571
56,5.0836,0.8621
57,5.0385,0.8525
58,4.9950,0.8602
59,4.9529,0.8567
60,4.9121,0.8482
61,4.8727,0.8478
62,4.8344,0.8440
63,4.7972,0.8409
64,4.7609,0.8330
65,4.7259,0.8400
66,4.6919,0.8367
67,4.6590,0.8459
68,4.6268,0.8320
69,4.5955,0.8312
70,4.5652,0.8360
71,4.5355,0.8263
72,4.5067,0.8290
73,4.4786,0.8297
74,4.4512,0.8267
75,4.4247,0.8427
76,4.3988,0.8313
77,4.3735,0.8228
78,4.3486,0.8120
79,4.3246,0.8244
80,4.3010,0.8191
81,4.2781,0.8173
82,4.2560,0.8288
83,4.2341,0.8201
84,4.2126,0.8145
85,4.1916,0.8131
86,4.1710,0.8067
87,4.1510,0.8105
88,4.1313,0.8082
89,4.1122,0.8147
90,4.0935,0.8158
91,4.0753,0.8130
92,4.0572,0.8014
93,4.0395,0.8116
94,4.0224,0.8047
95,4.0054,0.8059
96,3.9887,0.7973
97,3.9725,0.8123
98,3.9563,0.7919
99,3.9406,0.7976
100,3.9253,0.8044
101,3.9101,0.7917
102,3.8952,0.7936
103,3.8808,0.8120
104,3.8663,0.7860
105,3.8522,0.7934
106,3.8385,0.7915
107,3.8250,0.7937
108,3.8117,0.7866
