iter,loss,rmse
1,5.6911,3.1921
2,11.0862,1.4492
3,18.3313,7.1677
4,21.4580,3.4016
5,19.8187,2.7643
6,18.9834,3.1026
7,17.8441,2.1011
8,16.5047,1.5624
9,15.2921,1.4913
10,14.4375,1.4157
11,13.5988,1.7234
12,12.9291,2.2991
13,12.3650,1.8554
14,11.8009,1.5273
15,11.2761,1.3773
16,10.8153,1.4854
17,10.4138,1.3793
18,10.0446,1.2960
19,9.6933,1.2185
20,9.3799,1.2377
21,9.0946,1.2474
22,8.8302,1.1756
23,8.5823,1.0975
24,8.3524,1.0686
25,8.1376,1.0180
26,7.9389,1.0025
27,7.7531,0.9790
28,7.5780,0.9622
29,7.4149,0.9640
30,7.2616,0.9516
31,7.1182,0.9452
32,6.9828,0.9376
33,6.8539,0.9184
34,6.7335,0.9503
35,6.6178,0.9125
36,6.5096,0.9406
37,6.4065,0.9177
38,6.3079,0.9166
39,6.2143,0.9039
40,6.1247,0.8900
41,6.0395,0.8902
42,5.9579,0.8884
43,5.8799,0.8820
44,5.8053,0.8789
45,5.7339,0.8752
46,5.6654,0.8788
47,5.5995,0.8702
48,5.5363,0.8735
49,5.4758,0.8836
50,5.4175,0.8778
51,5.3611,0.8650
52,5.3076,0.8773
53,5.2555,0.8640
54,5.2055,0.8564
55,5.1568,0.8615
56,5.1100,0.8704
57,5.0645,0.8475
58,5.0208,0.8653
59,4.9782,0.8553
60,4.9369,0.8467
61,4.8971,0.8455
62,4.8581,0.8353
63,4.8206,0.8407
64,4.7840,0.8315
65,4.7486,0.8434
66,4.7142,0.8325
67,4.6810,0.8473
68,4.6485,0.8360
69,4.6169,0.8342
70,4.5862,0.8310
71,4.5562,0.8219
72,4.5270,0.8247
73,4.4986,0.8239
74,4.4710,0.8311
75,4.4442,0.8311
76,4.4179,0.8277
77,4.3923,0.8212
78,4.3672,0.8170
79,4.3428,0.8195
80,4.3190,0.8165
81,4.2958,0.8122
82,4.2732,0.8212
83,4.2510,0.8156
84,4.2292,0.8061
85,4.2079,0.8084
86,4.1872,0.8059
87,4.1668,0.8079
88,4.1468,0.8012
89,4.1274,0.8096
90,4.1085,0.8117
91,4.0899,0.8048
92,4.0716,0.7985
93,4.0537,0.8061
94,4.0363,0.7971
95,4.0190,0.7934
96,4.0022,0.7977
97,3.9856,0.7963
98,3.9694,0.8068
99,3.9536,0.7937
100,3.9380,0.7973
101,3.9226,0.7905
102,3.9077,0.7935
103,3.8931,0.8023
104,3.8785,0.7857
105,3.8644,0.7909
106,3.8504,0.7949
107,3.8369,0.7966
108,3.8234,0.7922
