iter,loss,rmse
1,7.5118,3.5883
2,10.9632,2.9136
3,21.2952,1.6485
4,21.7467,4.4961
5,23.0529,2.5665
6,21.7972,2.4928
7,22.0224,1.3797
8,21.4102,1.2737
9,20.0133,1.4412
10,18.7616,1.3645
11,17.7920,1.2961
12,16.7953,1.2483
13,16.1020,1.2957
14,15.4468,1.2918
15,14.8062,2.1959
16,14.1729,1.2107
17,13.6046,1.2407
18,13.1078,1.2413
19,12.6255,1.1959
20,12.1916,1.2501
21,11.7832,1.2313
22,11.4135,1.2570
23,11.0612,1.1373
24,10.7415,1.1563
25,10.4401,1.1456
26,10.1610,1.1435
27,9.9027,1.1447
28,9.6589,1.0987
29,9.4338,1.0944
30,9.2206,1.0622
31,9.0218,1.0740
32,8.8345,1.0532
33,8.6566,1.0602
34,8.4893,1.0559
35,8.3314,1.0404
36,8.1812,1.0282
37,8.0391,1.0025
38,7.9039,1.0192
39,7.7754,1.0186
40,7.6537,0.9952
41,7.5369,0.9644
42,7.4256,0.9947
43,7.3189,0.9752
44,7.2165,0.9623
45,7.1187,0.9660
46,7.0244,0.9548
47,6.9342,0.9676
48,6.8471,0.9467
49,6.7634,0.9404
50,6.6825,0.9180
51,6.6049,0.9348
52,6.5297,0.8998
53,6.4571,0.9126
54,6.3867,0.9023
55,6.3186,0.9009
56,6.2529,0.9049
57,6.1893,0.9028
58,6.1275,0.8911
59,6.0679,0.8907
60,6.0101,0.8871
61,5.9539,0.8793
62,5.8994,0.8723
63,5.8469,0.8811
64,5.7955,0.8651
65,5.7457,0.8679
66,5.6973,0.8660
67,5.6505,0.8722
68,5.6049,0.8620
69,5.5605,0.8638
70,5.5173,0.8546
71,5.4754,0.8639
72,5.4346,0.8697
73,5.3949,0.8683
74,5.3560,0.8550
75,5.3181,0.8607
76,5.2812,0.8501
77,5.2453,0.8554
78,5.2102,0.8463
79,5.1758,0.8457
80,5.1424,0.8533
81,5.1097,0.8459
82,5.0776,0.8374
83,5.0464,0.8413
84,5.0159,0.8391
85,4.9861,0.8451
86,4.9569,0.8424
87,4.9284,0.8401
88,4.9005,0.8342
89,4.8731,0.8316
90,4.8463,0.8326
91,4.8203,0.8442
92,4.7947,0.8254
93,4.7696,0.8325
94,4.7451,0.8602
95,4.7210,0.8334
96,4.6973,0.8212
97,4.6741,0.8243
98,4.6514,0.8236
99,4.6291,0.8238
100,4.6072,0.8190
101,4.5859,0.8227
102,4.5649,0.8251
103,4.5443,0.8226
104,4.5240,0.8161
