iter,loss,rmse
1,7.5229,3.5971
2,10.2330,1.9135
3,18.2028,2.3559
4,22.0226,6.7738
5,20.5491,1.5584
6,20.9873,2.4539
7,20.1777,1.9852
8,19.5014,1.3649
9,18.5868,1.1829
10,17.5605,1.3209
11,16.6453,1.6481
12,15.7150,1.3235
13,14.8996,1.2544
14,14.1385,1.2113
15,13.4868,1.4014
16,12.8740,1.3332
17,12.3368,1.2437
18,11.8627,1.2370
19,11.4139,1.1620
20,10.9973,1.1866
21,10.6217,1.2084
22,10.2752,1.2452
23,9.9468,1.1500
24,9.6487,1.1598
25,9.3743,1.1542
26,9.1145,1.1176
27,8.8721,1.1370
28,8.6506,1.1942
29,8.4397,1.1196
30,8.2435,1.1611
31,8.0549,1.0629
32,7.8805,1.0927
33,7.7145,1.0605
34,7.5603,1.1149
35,7.4118,1.0333
36,7.2735,1.0710
37,7.1390,1.0193
38,7.0126,1.0498
39,6.8923,1.0539
40,6.7768,0.9940
41,6.6671,1.0179
42,6.5618,1.0038
43,6.4612,0.9842
44,6.3653,0.9914
45,6.2729,0.9695
46,6.1837,0.9386
47,6.0978,0.9455
48,6.0147,0.9427
49,5.9349,0.9341
50,5.8582,0.9314
51,5.7845,0.9307
52,5.7131,0.9154
53,5.6440,0.9106
54,5.5777,0.9234
55,5.5134,0.9138
56,5.4515,0.9093
57,5.3914,0.8981
58,5.3332,0.9027
59,5.2768,0.8916
60,5.2225,0.8932
61,5.1697,0.8952
62,5.1184,0.8966
63,5.0688,0.8994
64,5.0206,0.8897
65,4.9737,0.8798
66,4.9282,0.8827
67,4.8833,0.8916
68,4.8390,0.8903
69,4.7975,0.8762
70,4.7570,0.8758
71,4.7171,0.8748
72,4.6778,0.8779
73,4.6400,0.8780
74,4.6024,0.8665
75,4.5670,0.8724
76,4.5320,0.8833
77,4.4966,0.8701
78,4.4624,0.8736
79,4.4295,0.9011
80,4.3953,0.8752
81,4.3634,0.8775
82,4.3317,0.8771
83,4.3019,0.8788
84,4.2722,0.8797
85,4.2430,0.8797
86,4.2147,0.8733
87,4.1850,0.8880
88,4.1578,0.8806
89,4.1298,0.8802
90,4.1038,0.8767
91,4.0788,0.8780
92,4.0531,0.8921
93,4.0280,0.8781
94,4.0019,0.8760
95,3.9786,0.8760
96,3.9544,0.8884
97,3.9308,0.8874
98,3.9080,0.8924
99,3.8847,0.8795
100,3.8650,0.8947
101,3.8463,0.9008
102,3.8279,0.8966
103,3.8093,0.8783
104,3.7913,0.8739
105,3.7740,0.8858
106,3.7566,0.8744
107,3.7397,0.8951
108,3.7229,0.8752
109,3.7068,0.8942
110,3.6907,0.8765
111,3.6742,0.8799
112,3.6587,0.8795
113,3.6435,0.9057
114,3.6280,0.8766
115,3.6120,0.8829
116,3.5977,0.8900
117,3.5834,0.8743
118,3.5696,0.8977
119,3.5551,0.8748
120,3.5416,0.8861
121,3.5282,0.8892
122,3.5149,0.8739
123,3.5018,0.8587
124,3.4889,0.8586
125,3.4764,0.8695
126,3.4638,0.8637
127,3.4517,0.8837
128,3.4397,0.8583
129,3.4278,0.8640
130,3.4159,0.8533
131,3.4043,0.8615
132,3.3928,0.8687
133,3.3815,0.8509
134,3.3704,0.8635
135,3.3594,0.8553
136,3.3485,0.8499
137,3.3376,0.8421
138,3.3270,0.8412
139,3.3166,0.8445
140,3.3062,0.8408
141,3.2962,0.8498
142,3.2862,0.8576
143,3.2764,0.8435
144,3.2666,0.8344
145,3.2570,0.8332
146,3.2475,0.8438
147,3.2382,0.8429
148,3.2290,0.8465
149,3.2199,0.8388
150,3.2109,0.8419
151,3.2021,0.8414
152,3.1935,0.8518
153,3.1848,0.8398
154,3.1761,0.8328
155,3.1676,0.8444
156,3.1592,0.8290
157,3.1505,0.8313
158,3.1422,0.8318
159,3.1341,0.8372
160,3.1259,0.8312
161,3.1180,0.8358
162,3.1103,0.8328
163,3.1025,0.8328
164,3.0948,0.8315
165,3.0871,0.8287
166,3.0790,0.8264
167,3.0711,0.8291
168,3.0634,0.8459
169,3.0560,0.8339
170,3.0487,0.8427
171,3.0415,0.8301
172,3.0342,0.8326
173,3.0271,0.8215
174,3.0202,0.8273
175,3.0132,0.8228
176,3.0063,0.8300
177,2.9993,0.8252
178,2.9922,0.8307
179,2.9853,0.8275
180,2.9785,0.8352
181,2.9715,0.8223
182,2.9637,0.8277
183,2.9551,0.8278
184,2.9480,0.8326
185,2.9414,0.8332
186,2.9336,0.8232
187,2.9262,0.8313
188,2.9178,0.8355
189,2.9107,0.8346
190,2.9030,0.8331
191,2.8953,0.8395
192,2.8879,0.8349
193,2.8797,0.8318
194,2.8717,0.8336
195,2.8641,0.8271
196,2.8551,0.8469
197,2.8458,0.8437
198,2.8350,0.8549
199,2.8249,0.8575
200,2.8179,0.8436
201,2.8098,0.8359
202,2.8020,0.8373
203,2.7958,0.8411
204,2.7883,0.8395
205,2.7812,0.8433
206,2.7737,0.8380
207,2.7654,0.8400
208,2.7551,0.8497
209,2.7487,0.8552
210,2.7398,0.8513
211,2.7324,0.8391
212,2.7237,0.8490
213,2.7147,0.8399
214,2.7109,0.8474
215,2.7069,0.8606
216,2.7029,0.8381
217,2.6991,0.8431
218,2.6941,0.8424
219,2.6905,0.8432
220,2.6867,0.8431
221,2.6832,0.8483
