iter,loss,rmse
1,5.6911,3.1921
2,11.0863,1.4492
3,18.3307,7.1652
4,21.4544,3.4016
5,19.8196,2.7732
6,18.9746,3.1213
7,17.8270,2.0982
8,16.4924,1.5666
9,15.2805,1.4815
10,14.4233,1.4052
11,13.5888,1.8462
12,12.8679,1.7893
13,12.2385,1.5984
14,11.6473,1.3743
15,11.1486,1.7556
16,10.7123,1.2920
17,10.3119,1.2633
18,9.9328,1.2373
19,9.5870,1.2221
20,9.2768,1.2318
21,8.9900,1.1815
22,8.7251,1.1215
23,8.4814,1.0922
24,8.2543,1.0523
25,8.0462,1.0796
26,7.8493,0.9897
27,7.6659,0.9722
28,7.4932,0.9470
29,7.3340,0.9833
30,7.1832,0.9428
31,7.0422,0.9317
32,6.9073,0.9184
33,6.7816,0.9528
34,6.6620,0.9280
35,6.5488,0.9302
36,6.4418,0.9379
37,6.3409,0.9312
38,6.2435,0.9037
39,6.1515,0.9030
40,6.0636,0.8964
41,5.9799,0.9011
42,5.9001,0.9050
43,5.8234,0.8814
44,5.7504,0.8826
45,5.6801,0.8756
46,5.6127,0.8818
47,5.5480,0.8759
48,5.4858,0.8720
49,5.4262,0.8776
50,5.3689,0.8771
51,5.3135,0.8631
52,5.2605,0.8714
53,5.2093,0.8647
54,5.1601,0.8628
55,5.1122,0.8661
56,5.0661,0.8598
57,5.0215,0.8474
58,4.9781,0.8467
59,4.9364,0.8565
60,4.8958,0.8485
61,4.8567,0.8469
62,4.8187,0.8463
63,4.7816,0.8406
64,4.7456,0.8317
65,4.7110,0.8392
66,4.6771,0.8387
67,4.6445,0.8499
68,4.6127,0.8417
69,4.5816,0.8337
70,4.5513,0.8284
71,4.5218,0.8282
72,4.4932,0.8268
73,4.4655,0.8421
74,4.4382,0.8258
75,4.4118,0.8337
76,4.3860,0.8267
77,4.3610,0.8319
78,4.3363,0.8143
79,4.3124,0.8236
80,4.2890,0.8142
81,4.2661,0.8150
82,4.2439,0.8173
83,4.2221,0.8149
84,4.2006,0.8089
85,4.1797,0.8115
86,4.1593,0.8064
87,4.1393,0.8090
88,4.1196,0.8029
89,4.1005,0.8123
90,4.0819,0.8073
91,4.0636,0.8092
92,4.0456,0.8044
93,4.0280,0.8068
94,4.0108,0.8001
95,3.9938,0.7916
96,3.9772,0.7991
97,3.9609,0.8003
98,3.9449,0.7942
99,3.9293,0.7933
100,3.9139,0.7965
101,3.8988,0.7919
102,3.8840,0.7914
103,3.8695,0.7969
104,3.8552,0.7836
105,3.8411,0.7875
106,3.8275,0.7900
107,3.8141,0.8051
108,3.8009,0.7892
109,3.7879,0.7919
110,3.7751,0.7890
111,3.7625,0.7882
112,3.7502,0.7973
113,3.7381,0.7848
114,3.7264,0.8036
115,3.7146,0.7791
116,3.7030,0.7829
117,3.6917,0.7872
118,3.6806,0.7976
119,3.6696,0.7800
120,3.6587,0.7822
121,3.6480,0.7777
122,3.6375,0.7841
123,3.6271,0.7743
124,3.6170,0.7872
125,3.6070,0.7764
126,3.5971,0.7744
127,3.5874,0.7789
128,3.5777,0.7723
129,3.5683,0.7709
130,3.5591,0.7761
131,3.5499,0.7709
132,3.5410,0.7792
133,3.5322,0.7789
134,3.5234,0.7748
135,3.5149,0.7823
136,3.5067,0.7770
137,3.4982,0.7744
138,3.4900,0.7675
139,3.4819,0.7700
140,3.4738,0.7756
141,3.4660,0.7708
142,3.4580,0.7684
143,3.4504,0.7769
144,3.4427,0.7666
145,3.4352,0.7774
146,3.4278,0.7684
