iter,loss,rmse
1,7.5118,3.5883
2,10.9631,2.9136
3,21.2975,1.6470
4,21.7557,4.4997
5,23.0459,2.5670
6,21.7805,2.5013
7,22.0094,1.3770
8,21.4024,1.2698
9,20.0046,1.4302
10,18.7526,1.3686
11,17.7828,1.2976
12,16.7856,1.2491
13,16.0950,1.2954
14,15.4416,1.2929
15,14.8021,2.1934
16,14.1704,1.2151
17,13.6023,1.2414
18,13.1087,1.2414
19,12.6267,1.1986
20,12.1979,1.2687
21,11.7891,1.1986
22,11.4231,1.2855
23,11.0745,1.1604
24,10.7617,1.1592
25,10.4741,1.1725
26,10.1944,1.1337
27,9.9397,1.1357
28,9.7018,1.1533
29,9.4758,1.1360
30,9.2622,1.0695
31,9.0628,1.0666
32,8.8748,1.0630
33,8.6977,1.0651
34,8.5295,1.0539
35,8.3703,1.0503
36,8.2199,1.0456
37,8.0770,1.0336
38,7.9414,1.0470
39,7.8123,1.0318
40,7.6895,1.0033
41,7.5722,0.9800
42,7.4602,1.0041
43,7.3531,0.9963
44,7.2505,0.9933
45,7.1525,0.9955
46,7.0579,0.9667
47,6.9671,0.9711
48,6.8794,0.9498
49,6.7954,0.9574
50,6.7142,0.9316
51,6.6362,0.9387
52,6.5604,0.9082
53,6.4874,0.9245
54,6.4166,0.9108
55,6.3480,0.9104
56,6.2819,0.9169
57,6.2178,0.9018
58,6.1560,0.9030
59,6.0961,0.9035
60,6.0381,0.8992
61,5.9817,0.8929
62,5.9271,0.8934
63,5.8745,0.8974
64,5.8229,0.8773
65,5.7729,0.8874
66,5.7243,0.8745
67,5.6772,0.8823
68,5.6315,0.8800
69,5.5869,0.8707
70,5.5435,0.8710
71,5.5016,0.8929
72,5.4607,0.8857
73,5.4208,0.8769
74,5.3818,0.8669
75,5.3438,0.8766
76,5.3067,0.8678
77,5.2709,0.8881
78,5.2356,0.8533
79,5.2011,0.8590
80,5.1677,0.8707
81,5.1348,0.8517
82,5.1028,0.8573
83,5.0715,0.8530
84,5.0409,0.8562
85,5.0109,0.8485
86,4.9818,0.8543
87,4.9532,0.8513
88,4.9252,0.8526
89,4.8979,0.8505
90,4.8712,0.8536
91,4.8452,0.8710
92,4.8195,0.8396
93,4.7944,0.8529
94,4.7697,0.8440
95,4.7455,0.8399
96,4.7218,0.8391
97,4.6986,0.8376
98,4.6757,0.8309
99,4.6535,0.8402
100,4.6314,0.8223
101,4.6101,0.8434
102,4.5890,0.8324
103,4.5683,0.8357
104,4.5480,0.8281
105,4.5281,0.8372
106,4.5084,0.8308
107,4.4891,0.8242
108,4.4702,0.8302
109,4.4518,0.8282
110,4.4334,0.8187
111,4.4153,0.8185
112,4.3976,0.8181
113,4.3803,0.8190
114,4.3634,0.8218
115,4.3467,0.8288
116,4.3302,0.8156
117,4.3140,0.8127
118,4.2980,0.8226
119,4.2823,0.8173
120,4.2669,0.8177
121,4.2516,0.8143
122,4.2365,0.8083
123,4.2217,0.8154
124,4.2073,0.8122
125,4.1929,0.8042
126,4.1787,0.8102
127,4.1647,0.8021
128,4.1508,0.8001
129,4.1374,0.8141
130,4.1241,0.8040
131,4.1109,0.7995
132,4.0979,0.7990
133,4.0852,0.8009
134,4.0725,0.7997
135,4.0601,0.7922
136,4.0477,0.7972
137,4.0357,0.8084
138,4.0237,0.7945
139,4.0120,0.8054
140,4.0005,0.8018
141,3.9889,0.7861
142,3.9777,0.7929
143,3.9666,0.7917
144,3.9557,0.8025
145,3.9448,0.7890
146,3.9342,0.8044
147,3.9237,0.7930
148,3.9132,0.7910
149,3.9029,0.7918
150,3.8927,0.7796
151,3.8827,0.7947
152,3.8728,0.7908
153,3.8630,0.7882
154,3.8533,0.7791
155,3.8437,0.7942
156,3.8343,0.7847
157,3.8249,0.7811
158,3.8157,0.7830
159,3.8067,0.7856
160,3.7977,0.7810
161,3.7887,0.7846
162,3.7799,0.7922
163,3.7712,0.7778
164,3.7625,0.7686
165,3.7540,0.7790
166,3.7457,0.7849
167,3.7374,0.7791
168,3.7293,0.7886
169,3.7212,0.7861
170,3.7132,0.7824
171,3.7052,0.7680
172,3.6973,0.7713
173,3.6895,0.7749
174,3.6817,0.7720
175,3.6741,0.7679
176,3.6665,0.7710
177,3.6590,0.7693
178,3.6515,0.7687
179,3.6442,0.7705
